gene_id	Intercept	condition_adult_pzq_vs_adult_control	condition_juvenile_control_vs_adult_control	condition_juvenile_pzq_vs_adult_control
Smp_004710	10.6419201426978	-0.140599081063813	0.189125207065733	-0.0360219643225736
Smp_004730	7.55946128349387	0.00168637012823221	0.804797530307905	0.659630853742097
Smp_004780	14.106250943763	-0.0272029043500889	-0.472903703849376	0.0469879192348882
Smp_004810	12.3341966724328	-0.282613588761852	-0.336467341480159	-0.485467181708085
Smp_004820	11.6024351156374	-0.100636384096186	-0.50764976307937	-0.449106714714199
Smp_004910	11.3845018042599	0.312122748035129	-0.164382253840168	-0.104588009133142
Smp_004940	11.9435033299717	-0.299923131550797	-0.396685518798155	-0.536769595567123
Smp_004990	12.7043592176255	-0.341973704523236	-0.0895420513509958	0.0413618902520136
Smp_005000	10.8394364744533	0.00127363466297914	-0.0863710967380292	-0.0724352123577974
Smp_005010	11.0120407774276	-0.0853526043611594	0.327983594113128	0.284974921810657
Smp_005020	11.0972890377427	0.222880733896666	0.36172438771148	0.407103696881801
Smp_005070	10.3225903414206	-0.276649216082647	-0.647306360946968	-0.948665589810155
Smp_005080	10.1354893221517	0.131978692069722	0.259265192139985	0.132848697395186
Smp_005140	4.82010951616356	0.0530136061936329	-1.07047315255806	-0.0210832353293199
Smp_005160	11.5319033077542	0.634997915585266	0.428977987445036	0.318821349301628
Smp_005180	12.1117062942857	-0.042182990083454	0.0039448208535288	-0.033234828546645
Smp_005190	11.9438184293422	0.341079058448413	0.38045847733973	0.362866315219047
Smp_005210	11.5955969503718	0.03207379391439	0.19839874657534	0.0963537671574382
Smp_005230	12.3186239262098	-0.0349633618776677	0.0709720192153717	0.15901203481225
Smp_005260	11.517193465304	-0.347133422411423	0.42178562280296	0.198839347488571
Smp_005280	9.43648788584143	0.167367696247439	-0.372319004257544	-0.340464327104847
Smp_005290	11.7651181017662	-0.491858625211107	0.489177973319984	-0.00174033962706095
Smp_005320	9.41436734035054	-0.283666206333623	-0.416398608263533	-0.64040320951255
Smp_005330	9.97293386463182	-0.0775282566140209	0.0123976826362162	0.079240877376618
Smp_005390	10.3879092217027	0.270711171892905	0.262039412443938	0.169114120245333
Smp_005470	7.94868537501728	-0.365737520711695	-2.05235602708009	-1.55740827218678
Smp_005500	10.2729792649597	0.31813442343854	-0.101745105315505	0.0272885608808826
Smp_005520	10.8570107441048	-0.174264100631603	0.0978908081814363	0.191416136713749
Smp_005640	7.67609826297131	0.183452969656497	-0.716310071743991	-0.668746777899769
Smp_005670	12.2092753115423	-0.316483188886167	-0.00639579082476776	-0.0783964349280591
Smp_005720	12.6478594314278	-0.432841250032513	0.578049736833525	0.310432857611976
Smp_005780	10.8685499031741	-0.451479658069695	-0.26554668989363	-0.353434536711975
Smp_005790	10.448293272793	-0.125065510120308	0.494675909693449	0.277927368840441
Smp_005880	11.2794483617526	-0.901841177786616	0.529721471353629	0.139260405450208
Smp_005900	12.3092815419845	-0.123219664079621	-0.889169974642422	-0.816298481571018
Smp_005910	10.5383052410466	0.449344677191021	0.0670053707453593	0.15048790844788
Smp_005960	8.23858990490635	0.148346595542816	-0.0314894413186904	-0.0282982528988327
Smp_006000	11.0253620382285	-0.174570541659016	-0.064583678691066	-0.0579386749394582
Smp_006060	12.6055489553905	-0.0817789993421329	-0.571155608292564	-0.350642308588231
Smp_006190	11.0427123093385	0.0200765051884187	0.102227791460645	0.0183300235402181
Smp_006195	6.08859764608053	0.188291480864208	0.673652792635303	0.761550172238554
Smp_006250	10.6751253044939	0.234385023572089	0.372929950881697	0.389025313165332
