gene_id	dispersion
Smp_005880	0.00854145415362886
Smp_005900	0.00580532334401644
Smp_005910	0.00907278704026796
Smp_005960	0.00752625803913401
Smp_006000	0.00220506824660264
Smp_006060	0.0033374667335756
Smp_006190	0.00311941408651304
Smp_006195	0.0250682453375998
Smp_006250	0.00152480995057079
Smp_006320	0.00404891733208718
Smp_006340	0.0034734673524067
Smp_006350	0.00217067814351707
Smp_006390	0.0054154968177013
Smp_006440	0.00488219065644981
Smp_006550	0.00231858779989661
Smp_006560	0.00299552445627422
Smp_006590	0.00295257744672632
Smp_006630	0.00276254087085795
Smp_006680	0.00220394153883023
Smp_006690	0.00195736911666578
Smp_006700	0.00152446065925455
Smp_006710	0.00154964561931691
Smp_006720	0.00218499936771833
Smp_006730	0.00516801959201894
Smp_006750	0.00577207674471732
Smp_006760	0.0130839325843259
Smp_006780	0.00300083967519652
Smp_006810	0.00328809694203251
Smp_006830	0.00198507546337994
Smp_006840	0.00225791863231462
Smp_006850	0.0022631921897569
Smp_006860	0.00604680629829655
Smp_006920	0.0033267685335465
Smp_006930	0.00425020273364377
Smp_007000	0.00593275381072146
Smp_007070	0.0112906665015873
Smp_007170	0.00319616717690209
Smp_007180	0.00267728144017234
Smp_007190	0.00230224328030321
Smp_007210	0.00200782609388033
Smp_007260	0.00264314596019212
Smp_007270	0.0076498117711298
Smp_007290	0.00773425906059436
Smp_007300	0.00524810776051045
Smp_007330	0.00326389864389608
Smp_007380	0.00237019856858566
Smp_007450	0.00395151651257604
Smp_007500	0.00105467047171737
Smp_007510	0.00240650201478504
Smp_007540	0.00423077322991554
Smp_007550	0.00590154848011754
Smp_007570	0.0809340806390223
Smp_007630	0.00197282049694344
Smp_007650	0.00260137363492226
Smp_007660	0.00149917719173374
Smp_007670	0.00684716874102493
Smp_007690	0.0387552648095832
Smp_007710	0.00684766940089025
Smp_007730	0.00365551586109319
Smp_007760	0.0235513213219936
Smp_007890	0.0019661315610079
Smp_007900	0.00480828950768343
Smp_007960	0.00334909370724939
Smp_007970	0.00252553813716613
Smp_008070	0.00538653535981984
Smp_008120	0.00220928872931484
Smp_008140	0.00444606971284609
Smp_008220	0.00335751444171047
Smp_008230	0.00306830533974908
Smp_008260	0.00124595491233419
Smp_008290	0.00311023983906728
