gene_id	PRJEB14695__ovary_mixed_sex_r1	PRJEB14695__ovary_mixed_sex_r2	PRJEB14695__ovary_mixed_sex_r3	PRJEB14695__ovary_single_sex_r1	PRJEB14695__ovary_single_sex_r2	PRJEB14695__testis_mixed_sex_r1	PRJEB14695__testis_mixed_sex_r2	PRJEB14695__testis_mixed_sex_r3	PRJEB14695__testis_single_sex_r1	PRJEB14695__testis_single_sex_r2	PRJEB14695__testis_single_sex_r3	PRJEB14695__whole_female_mixed_sex_r1	PRJEB14695__whole_female_mixed_sex_r2	PRJEB14695__whole_female_mixed_sex_r3	PRJEB14695__whole_female_single_sex_r1	PRJEB14695__whole_female_single_sex_r2	PRJEB14695__whole_female_single_sex_r3	PRJEB14695__whole_male_mixed_sex_r1	PRJEB14695__whole_male_mixed_sex_r2	PRJEB14695__whole_male_mixed_sex_r3	PRJEB14695__whole_male_single_sex_r1	PRJEB14695__whole_male_single_sex_r2	PRJEB14695__whole_male_single_sex_r3
Smp_000650	1505.5943353750783	680.5566909840838	1477.1905325815062	1952.1319468275922	2372.334192301372	1283.0905862394304	1151.2531729409238	1053.2770456660605	1451.9225635284727	2000.439047998895	1435.797870424577	1396.8701176541392	672.7938214072637	529.4721449830121	1289.9621172512782	2141.4837148424594	1543.5889644033437	563.6601833096239	832.4615085249061	805.4342955613739	895.4043843773284	850.9849567404638	832.04345503246
Smp_000660	387.28975486176944	241.43603436757942	386.95207097032136	822.3750728510679	1098.4305747959836	2963.150368296292	1916.2465410564516	1865.3496457115682	1940.2077740622226	2858.620202651605	2697.034331388861	24489.994719454477	13199.036402847416	11905.114267059529	12857.241101877155	20486.079985286633	15802.091834849916	10783.999481296114	16807.63733486563	16042.925361440706	14962.518437158638	14887.519073980167	13978.093784424515
Smp_000670	2596.046045964332	1066.9545432099578	2195.388793065314	1876.091912731024	2249.2552116952515	5534.805399835392	5147.61998027507	4177.703092472835	4773.486871235939	8344.105444623545	5633.829588684143	7183.3833208922	2056.689814865034	1574.52622658094	2882.7560052357085	5480.609329543044	4160.00031542119	1525.4918341380385	4248.823638954609	3942.369149604695	3851.5722204894	3804.981687054693	3314.7490846377173
Smp_000680	2942.963858699861	995.200387580631	2545.4464756718235	1903.3034845291897	2091.0583469003136	919.3330626530919	509.9418590185368	582.7885660209073	758.495955203768	1098.0043495220839	1280.853863757214	900.5414534665019	637.0061507141244	421.69356326462463	1321.8696552325632	2467.745910259635	1613.5750541044379	310.23062327900243	621.0357874533667	718.9521039142564	853.8097559859527	839.138436513287	729.1258964674572
Smp_000690	22.097190627698772	20.10398397316629	32.83865442518614	49.24782206110327	62.4009396854055	26.859436940333513	56.24579769744155	30.445033753066575	48.6027710078117	37.90168211295264	40.8125200611108	78.47468029843715	16.95751693912125	20.876674286160146	40.12130142089545	51.414768849823915	36.070998769932814	16.72616299704686	35.871586563585986	23.992394427127838	25.20892293697502	13.989211665973228	27.35529986781029
Smp_000700	1940.7659031362755	876.6113305137662	2009.598852145955	1544.5239161640527	1894.67142292021	728.1540698756493	717.1723450311795	512.6170540327453	866.3045973875822	1402.560388992539	1057.2329773531053	2807.4105465066286	819.3170672448412	719.8720881740245	1373.727532805568	2216.8945953060797	1692.848395686735	615.1171576256477	1930.2272450129094	1751.0092939302208	1661.7708480007616	1569.7251218531721	1705.1151630047575
Smp_000710	5391.6599421393075	2181.317680188125	4925.192831446074	2108.7432720189777	2259.1524138536947	1845.4447024846243	1192.5890967057173	1058.1027462702602	1556.4513257379988	2109.1345836914684	2060.1843784560706	2414.3086364623246	1475.7937023635993	1057.957731533444	1958.2251532943092	3278.419072203115	2375.859842963248	1073.7701397343444	1797.920005211322	1873.9820194885915	1703.0084443262483	1578.8197412057718	1328.425960962439
Smp_000720	6772.465483290065	3076.6359890818144	6321.383369348745	4709.201031288774	5826.309107687803	4225.590168113016	4809.66293160817	5128.489039386746	5061.466897913743	8159.824659921781	6125.140648845297	5363.659104797661	3097.4751401237545	2305.2880187530363	2642.967925059264	5211.824011634327	3521.4993896244114	1864.6957725461286	3266.808793742937	3268.1159911389936	2564.0072290851144	2515.317223886306	2359.6040331332847
Smp_000740	10516.025496899847	4035.387743215008	9884.190734338608	8227.775651044063	8757.708332894425	5344.109081419094	5234.074895914482	3281.9250319782227	5041.02461854118	6600.780999356546	8050.6400290265465	8744.571695194893	6456.948410163643	5741.849546742591	9041.63503758477	16599.933481987966	10694.544711021288	3617.539535692728	7199.884271304026	7846.844390106883	7395.902566108678	7399.792387650809	6274.134469745683
Smp_000755	49.16684717256172	30.09576201214546	42.81708210210334	198.79117321081387	522.47120552786	20.919059955062043	20.982840159859457	18.105543050959046	99.00307713527764	72.88105446237795	63.78988656520641	3233.9583345795822	1379.0919380093733	1457.1305096861386	3832.4851699746905	7128.901383239149	5399.813143426809	1021.8358809776441	2738.997533309583	2247.959598959928	2904.083014387544	2445.1373872807726	1835.6685211823274
Smp_000770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smp_000790	882.1318143275486	390.2851428160828	894.0327419608091	511.3949821328078	536.3695583201218	1977.4130511252122	1632.5832719573575	1731.2679525670605	1823.916351012953	2893.078053154271	1771.4529930297547	1953.5232037915137	573.4192846955232	468.92013400446166	1117.6195116443016	1886.6429476572407	1150.6100179470625	475.1796330732801	1120.9927135951962	947.2003267068615	824.0416231558024	827.1357245617589	652.759980768727
