gene_id	Intercept	condition_cercaria_male_vs_cercaria_female	condition_cercaria_mixed_vs_cercaria_female	condition_egg_mixed_vs_cercaria_female	condition_juvenile_26d_female_vs_cercaria_female	condition_juvenile_26d_male_vs_cercaria_female	condition_miracidium_mixed_vs_cercaria_female	condition_schistosomulum_2d_female_vs_cercaria_female	condition_schistosomulum_2d_male_vs_cercaria_female	condition_schistosomulum_2d_mixed_vs_cercaria_female	condition_sporocyst_1d_mixed_vs_cercaria_female	condition_sporocyst_32d_female_vs_cercaria_female	condition_sporocyst_32d_male_vs_cercaria_female	condition_sporocyst_32d_mixed_vs_cercaria_female	condition_sporocyst_5d_mixed_vs_cercaria_female
Smp_340760	14.2952149168148	-0.39369492809003	-0.242466247760917	-0.961426039819195	1.10677243363454	1.63925593270215	-0.917815337753701	-0.406552198982451	0.2068000238235	-0.477244086511642	-1.40824842145566	0.959550466443294	0.813947727205333	0.554912515615414	-1.12104380541935
Smp_340770	8.45017675547575	-0.214959696801968	-0.35315077430572	1.37943355214352	0.149523933198298	-0.198568317251058	0.531995440604926	-0.190958108335958	0.127651353182233	0.210935966634491	-0.090519145317098	0.476406178015563	0.569754835488154	0.584223822435857	1.542328693576
Smp_340780	6.1585467976209	-1.45304016474726	-1.42019940421583	3.82338439746846	3.92343296790815	3.2165766291842	4.19332431511901	2.17115000606816	1.68621803577024	2.00049157552602	5.12657127394755	5.55492014358825	5.62897750891044	5.89008131970313	5.16333719835958
Smp_340790	12.7866968377535	-0.0285985234482686	-0.0499260071781356	-0.0931388930484622	-0.573937640387363	-0.696044220559865	-0.00491237626774554	-0.438822328071491	-0.31950053285852	-0.30557672157402	0.239121502701815	-0.970122318272039	-0.989996074186621	-1.00853888002226	-0.341910122911744
Smp_340800	10.0817301053685	0.968907643421146	0.508167542836511	-1.07415977467301	0.999205397855794	1.90204616777609	-0.79946713018819	0.380087466585118	1.21104545625472	0.877016072256012	-0.055514328358378	0.387289950517613	0.626150797002659	0.458211542177662	0.499377340589203
Smp_340810	8.80044160909336	-0.0654775456051689	-0.00254913665810637	0.450193888111892	0.706672045883768	0.798435866115087	2.6343438263557	0.84264157715344	0.839613375328476	0.656069816766049	0.821556625609915	0.259083622273307	0.0118081510725855	0.212042516609282	0.495659947453772
Smp_340820	10.7066075439107	-0.372606501803498	-0.14667500055185	-0.339285214409336	-0.300265822025317	-0.699753797187288	-0.827888104237291	0.0395668181115178	-0.528345100410608	-0.118463693419439	-0.761822995193546	-1.0018798537446	-1.44639893367667	-1.36745311463951	0.172251297376436
Smp_340830	8.85147524726029	0.191030173577656	0.0698429640432231	1.40833996199161	0.436650139419866	0.581020754928466	0.475307507304096	-1.43505864769777	-1.3192099522895	-1.53448584629457	-1.54288486172984	-0.540771743627267	-0.492343802784186	-0.646447423495515	-2.3463870745952
Smp_340840	4.07720795466806	0.512811316039285	0.851043718757864	1.13413501713989	2.18829297989911	1.10090501890874	1.5181301551726	1.28307892943911	0.166838000013492	0.394246503114871	-0.445726789225834	-1.4785730457677	0.0336276582940999	-0.650967227124328	-0.663035846020355
Smp_340850	10.7919760157241	-0.471747013656465	-0.055190193577529	0.57132042737306	1.15588328529376	1.34254348403818	0.100044444449323	0.25137707572511	0.429195317242665	0.152933086875133	-0.799597165597945	0.701796236706771	0.651685550525035	0.890448895389404	-0.182820821400384
Smp_340860	11.7341800535421	-0.222493225018763	-0.200228631181619	-1.40854215057438	-0.748894116782229	-1.03806582898707	-0.319247134477182	-3.34006955898944	-2.53742704180394	-3.65742232022932	-3.77812907378984	-2.68983027161895	-3.21585279024372	-3.61095393150562	-5.97735577108057
Smp_340870	7.92164058899984	-0.715332179080111	-0.30622755269939	0.367704080909358	1.50212038626617	0.914828114401555	-0.187006760374744	0.577520549862785	1.26089535915684	0.387647791979845	-1.4566213954102	0.612928712647423	0.344239630405756	-0.0571612544064806	-1.56870447713907
Smp_340880	12.0205899008734	-0.144072511279878	-0.117106312619014	-0.303197277078326	1.17195349624372	0.755334147377586	-0.68540715300622	0.369344001776059	0.0689017473369787	0.214375660338075	-1.18788335261573	-0.156186196519659	-0.104080318226932	-0.0928067094104571	-0.260931918920042
Smp_340890	7.26505080413793	0.169223070618566	-0.0673124429883677	1.52801662166915	-5.0022753747877	-6.64774928573627	0.813848090337267	-1.12048152386128	-1.20525735505632	-0.676277976605279	1.82415620168471	2.09753055841434	1.98115658541166	2.16110124741566	1.40624415811119
Smp_340900	13.4943040157612	0.434637196576102	0.107694433596703	1.03510805933831	0.280561175357339	0.0679921806882595	3.66444593673713	1.14546804934082	1.47530167437862	1.17554204265664	2.86713073535068	1.22597399032626	1.3067010873393	1.94210432302074	2.37066110666639
Smp_340910	14.8756775925332	-0.12707961894053	-0.0700114048197629	-2.67926075931639	-1.79722474193499	-1.62401773021976	0.345805501800779	-2.16905519111075	-2.18708078013622	-2.33489273162496	-1.8049706280586	-1.10910971689645	-1.22184999929487	-1.36420538567483	-2.23612662912351
Smp_340920	11.2738273428342	-0.326724447891226	-0.0854160759466277	-0.534541092282536	-0.0439617899082026	-0.345659956092146	-0.702533797126433	-0.485338788115005	-1.18045984868569	-0.756361665278045	0.273661519502598	0.402705040682177	0.519792353406915	0.310736752666759	0.16023796799276
Smp_340930	4.55976995999263	-0.75075003166629	-0.581830441968437	1.41362281308404	1.39625750349755	0.352527194843702	-1.6290817481171	3.3437743909425	0.935824704689338	1.44008556767578	-0.20820901863166	-0.992988366627548	-1.81078782857162	-1.18912992880509	-1.15775007322955
Smp_340940	10.9606471286459	0.0494977957573806	-0.0915949986551143	-1.1394468011786	-1.89264252632419	-2.06018232144199	-0.203987390389262	-1.2075053476844	-1.44056014248078	-1.45818983689493	-0.938144567915416	-1.63969279184033	-1.65045424153694	-1.38929517923149	-1.27154409721457
Smp_340950	-1.21397832638219	-0.784085983236822	-0.910648050217566	1.17042970665814	-1.55419733589181	2.10341278481399	-0.24905764517161	0.448758661093924	-0.11839276035894	-2.24002901832417	3.88637513326837	12.5332885916591	12.4296469999166	12.8232094889958	5.25663669137754
Smp_340960	15.2257723191139	-0.1845463460131	-0.208014211603765	-1.24796483797584	-0.586084980328168	-0.814496165451675	-0.25687469885489	-0.0542834017504851	-0.918009608960898	-0.338965904033426	-0.125676200204516	0.109281319714385	0.34353728828155	0.394587574445914	0.877400503849706
Smp_340970	10.6465906332262	-0.275331030053818	-0.180895792702111	0.304935601217553	0.418931632596828	0.0529404418438553	-0.237673091182805	0.27035577440202	-0.25090817998307	0.150166503447622	0.217093284473684	0.0834973652329322	0.176227967319025	0.257975072558066	0.320461248659318
Smp_340980	10.3169226181937	0.111947182808064	0.0479973261558103	0.33241282376431	0.10191728219201	0.0252880541124743	1.37257264062161	0.402647142070843	0.588652774526239	0.540182937166161	-0.384265057429639	-0.160626911389587	-0.464818398931102	-0.421560597115829	-0.625884708677179
Smp_340990	9.99272085024326	0.0840845410372799	0.206627099190053	0.900850850117328	-0.077774550533722	-0.377717327585894	2.06730301088704	0.691893843664538	0.8946102998474	0.758192721241847	1.54298756772788	0.427697951160412	0.42275910753017	0.71530820609176	1.76870681975988
Smp_341010	10.7378378901825	0.0734889359480092	-0.177980755435895	1.73209431213949	1.20751089600221	1.13886671431692	2.69673605705294	1.09940668697438	1.35748454685773	1.14143172922082	2.49139046372245	1.51925806442445	1.61804028426208	1.81707540420513	2.16490444693583
Smp_341020	13.3069568438289	0.0104345216035145	0.110522925090064	-0.519025322785113	-1.00432723068459	-1.32932208784913	0.227708575081772	-0.699641847488385	-0.900293059243694	-0.830086382930966	-1.47655095938314	-1.13171973714085	-1.58486894484204	-1.54627511953957	-0.897457310539982
Smp_341030	9.14671247392893	-0.383431988414704	-0.456207341892334	0.97918395901308	2.19550422850065	1.10980371037392	-0.494702948748117	1.05497457239156	0.532346957875334	0.982897699475685	1.22917088848013	2.04549715864043	2.15158650132796	1.61785947468875	1.16886080595298
Smp_341040	10.3383089440472	0.105993004929654	0.209710189302149	-0.56292915899649	-0.971562931441825	-1.05280854313974	0.176961775673026	-0.322579319830349	-0.154969554846337	-0.253334634843154	0.166471196589983	-0.974217832887832	-1.36285262497629	-1.33712949451145	-0.732765826355415
Smp_341050	11.4136836606333	-0.163082319908154	-0.216151794282317	0.484915928528487	0.171743721073533	0.277261231969222	1.09303408658207	0.44293576610614	0.248449830505943	0.385395718044498	1.25250778507631	0.0950399144877543	0.116025005159512	0.208212068278471	0.867468607798978
Smp_341060	9.66152150992932	0.90892799198018	0.592456260365384	0.652846157678116	0.351233002653266	1.17755368956326	2.07050763181968	0.510483190389188	1.27365248999688	1.03784959462963	1.01553734717744	0.593968536388833	0.89771358656239	0.700260403424244	1.19638029063108
