	PRJEB14695__ovary_mixed_sex_r1	PRJEB14695__ovary_mixed_sex_r2	PRJEB14695__ovary_mixed_sex_r3	PRJEB14695__ovary_single_sex_r1	PRJEB14695__ovary_single_sex_r2	PRJEB14695__testis_mixed_sex_r1	PRJEB14695__testis_mixed_sex_r2	PRJEB14695__testis_mixed_sex_r3	PRJEB14695__testis_single_sex_r1	PRJEB14695__testis_single_sex_r2	PRJEB14695__testis_single_sex_r3	PRJEB14695__whole_female_mixed_sex_r1	PRJEB14695__whole_female_mixed_sex_r2	PRJEB14695__whole_female_mixed_sex_r3	PRJEB14695__whole_female_single_sex_r1	PRJEB14695__whole_female_single_sex_r2	PRJEB14695__whole_female_single_sex_r3	PRJEB14695__whole_male_mixed_sex_r1	PRJEB14695__whole_male_mixed_sex_r2	PRJEB14695__whole_male_mixed_sex_r3	PRJEB14695__whole_male_single_sex_r1	PRJEB14695__whole_male_single_sex_r2	PRJEB14695__whole_male_single_sex_r3
Smp_130470	4387.14957000999	5429.92973597314	4231.32959394066	7025.981420209	7169.48745168515	5676.0808199465	9562.69781663692	8350.14612658074	6837.19359321739	7361.39950745907	4787.03504161376	2082.67439584346	2386.07379023305	2258.05695012602	1741.75558757544	2352.40853962771	1866.29870753959	3652.160956887	2678.32915965969	2563.56853044941	2158.62963548844	2252.05017973586	2317.29142649976
Smp_130480	1542.45425600946	1531.78661234766	1565.20504514014	1334.42119078819	1233.93355527189	1400.78926467328	1417.89493692856	1529.29122370015	1294.21072707723	1463.94200616644	1488.30837826873	1848.28981753311	2200.56135077793	2879.59282781222	1881.47365096902	1842.3565863148	1771.47691420654	2646.17650169657	1729.36173804017	2020.51054379502	1736.05229009515	1803.61851876356	1837.20578482978
Smp_130490	1156.37516255357	913.697277540711	1023.53858008041	328.86927700288	407.531568795202	510.466328773712	449.323783665946	432.090355838589	356.184490699887	346.343344284722	289.095872037812	453.366741474606	498.964492327554	484.683941314928	288.876536475926	273.906940517357	378.552120670693	863.834477826567	284.591065835739	260.542271053838	236.338360696767	213.224858403493	288.051385001992
Smp_130500	12.4141187606395	13.4367246697163	8.44155529963224	18.9440827766636	45.3553955451288	93.6036338476316	45.3208427328764	124.997567224735	75.2190849925227	88.1892774799061	84.7657649493584	94.423501547887	83.160748721259	127.348329678824	92.5160149498063	73.9282810328399	67.6248448576772	120.280750077117	86.2697656017745	63.8276246356791	44.6537916523846	49.4593743719442	57.3760888825106
Smp_130520	3544.8516121006	4044.45412558462	3983.00717554315	5144.45511883077	4869.70210110273	3131.3680765074	3801.77126467786	4061.64934488274	3974.44371144315	4123.24958253779	3718.09413204186	5763.85161576357	8587.94655063771	8123.68300070589	5426.3474890968	5772.25636006771	5245.33579243896	8406.53096902613	5012.57086341345	5260.02408268129	6217.76820837716	6115.37686678883	5406.23270143982
Smp_130540	1551.76484507994	1460.12408077584	1480.08602920219	951.75071869958	1074.52267975298	577.948018291772	848.147199715258	675.912770918936	732.2799156625	770.453596892634	797.690461733962	1602.5208454191	785.229377348811	716.571944610697	1561.4437625202	1438.67626038728	1596.53438077038	785.105259594272	1381.30785612956	1566.3926898297	1956.05389774836	2034.4289324993	2056.17167505487
Smp_130580	409.665919101103	415.04549535346	393.235784374535	1051.0177124493	1519.40575076182	1827.44768872295	1342.79182611408	1504.60034622366	1408.14551758061	1499.2177171584	1189.397522921	4200.84131354535	2971.39752161729	3888.87585855036	2781.14469430744	2949.15336925969	2709.40411027607	4124.53626628077	2831.03656083984	2508.11174183152	2921.01144418769	2793.90510341071	3222.4285021361
Smp_130590	499.668280115739	673.329202893563	524.783354460471	524.372211258049	404.863604351371	503.935842691319	642.261085585906	464.497132526483	547.550692224981	742.393372239937	464.873300406481	935.529302570199	649.293538092907	724.174829964657	1141.34553137057	1015.84904153039	1093.02330764528	728.245268648726	826.008215474462	894.633099401732	913.769053569528	912.250682860304	817.316531428416
Smp_130600	1101.13233406872	1167.50207685757	1247.9432584623	1737.55127227559	1891.58679067626	4722.62985191713	3931.25938677179	4424.2966078187	3559.63258096968	4027.04309801426	3669.91148670222	1883.78233939153	1202.63236612282	1138.53208175546	1179.10717012559	1162.64188732222	1179.75952170187	1408.37823726661	1482.45171924888	1454.4327580917	1270.9993867886	1274.95276158789	1448.45350913603
Smp_130610	718.777476241026	607.638548952728	679.545201620395	478.14864928299	540.929790986757	606.246791315474	451.913546107825	564.803822274727	570.780115531496	541.963196149241	624.589846995272	389.078399995194	756.442964329914	631.039484378651	534.327188383575	559.514760047105	605.683393073109	579.534523098836	430.357221507703	504.342870072087	558.716954089592	579.224228755879	619.427571813226
Smp_130620	346.974619359873	473.271302255564	307.413305494941	1501.12911922283	1318.64142636353	816.310760299113	1056.62307628649	912.019286787879	944.663214464917	853.030829442001	664.742051444968	1143.1270719308	593.319957222829	494.187548007377	990.298976350478	1046.16495533522	945.277722684487	586.095291284861	1498.3174232676	1271.32072020246	1765.45844557355	1769.54650530734	1968.35113084694
Smp_130630	1913.01570101454	1627.33665444342	1787.49933469713	1746.64443200839	2047.66271064038	1299.56673039619	911.596379541285	993.807818428755	1213.46082701173	960.461403826614	959.191550742739	1229.51453079376	981.936532977943	929.452734521567	1097.91964680229	1141.36756184514	1536.99511518916	1150.32135528297	1002.51417268269	865.335173339453	881.095547482417	759.476170911409	996.470441612581
Smp_130660	1265.61940764719	1445.19438669838	1220.50820373849	808.533452908003	1008.49055976816	1042.70094448873	1022.95616454207	1023.12823543209	956.831007625472	1290.77033402408	788.767749634029	141.970087433702	177.516213616534	245.193052665199	158.598882771097	150.515852750314	171.267270128682	371.776863874725	135.850090660266	103.5890957202	101.287868870043	95.6214571190921	106.555593638948
Smp_130680	4847.09267009169	4465.47149856906	4713.20170896133	3821.40037770859	3541.05580807484	2072.34091681268	2289.34999862073	2496.86498481013	2745.49660222708	2660.10929707571	2642.01505279	1986.91155384809	2902.62997940548	2583.08029900779	1916.40316681742	1940.21848350935	1917.01734118285	2326.88578331004	1984.20460884081	2187.9272641509	2054.07441600969	2034.4289324993	1817.29979480931
Smp_130690	4936.47432516829	5314.97109157668	5397.67115117318	4035.08963142935	4820.34475889186	2657.90783553391	3288.99830118589	3575.54769456433	3256.54391497039	4407.05871188222	3147.04055764618	2935.16459066942	3795.0087829913	3531.54024691426	1749.30791532644	1813.63624692075	1707.52733265635	3225.71102479541	2921.2727524463	2592.86645651169	2106.35202574907	2142.14045890932	2290.35979294267
Smp_130730	165.107779516505	262.762615763342	229.328918973343	541.043004101513	499.576342107375	445.161467949783	515.362725933852	407.399478362098	345.122860553928	327.102047380015	1901.42994849561	711.859447839744	3908.55518989917	2577.37813499232	1335.81797095894	1599.82927587613	521.887389662509	771.983723222223	2132.94558401629	2902.58738917006	2756.55479688257	2801.59878386857	2789.18048404368
Smp_130750	3934.65494118468	4026.53849269166	4108.22357915436	4924.70375862147	4875.70502110135	4215.42876618462	5398.35981009605	4740.64847548624	4850.52481900312	5160.67617398323	4008.97454649965	5619.87251765863	4615.42155402987	5207.97646746236	4171.71704146116	4387.29777151005	4594.81418701457	4771.86539396853	5640.25777865395	5326.99077082364	5489.14902263459	5155.86500397311	4328.96735915595
Smp_130760	2682.69106417419	2767.96528196156	2774.45784181246	3287.93500671774	3128.18831039197	4061.96234324838	4333.96744648392	4390.34665128852	4060.72442658163	4504.86863781448	2706.25857990951	293.315557999819	607.713163732277	545.507024146605	342.686871701834	315.391875197655	377.0820153477	616.712209486309	241.951986285437	217.641736462643	288.615970436144	307.747218314319	303.273612664699
Smp_130780	0	1.49296940774626	0.70346294163602	3.78881655533272	0	0	0	0	3.31848904378776	5.61204493053948	0.892271209993246	0.669670223743879	310.253562537005	315.519742189325	0	10.6371627385381	2.20515798448947	389.272245704124	0	2.09270900444849	3.26735060871107	3.29729162479628	0
