run_accession	sample_id	mate	filename	expected_bytes	observed_bytes	expected_md5	observed_md5	observed_sha256	gzip	status
ERR11178415	f_32d_sporocysts_r3	2	ERR11178415_2.fastq.gz	1370028615	1370028615	33ffade6ae5262896b9469b7343befef	33ffade6ae5262896b9469b7343befef	0dda29ca392744b1c40da0ff512b27d2765241cdfc9b26eca97eb71f76f53223	PASS	PASS
ERR11178334	f_32d_sporocysts_r4	1	ERR11178334_1.fastq.gz	1154568062	1154568062	89029b91dc441a873c3a2afd39a34503	89029b91dc441a873c3a2afd39a34503	e7261d8f3408a1624f8804c61e27fff83ef0aa78d36d225693b1371225e49512	PASS	PASS
ERR11178334	f_32d_sporocysts_r4	2	ERR11178334_2.fastq.gz	1246231060	1246231060	3831520b5bea856c5a9f44b2f7961d8f	3831520b5bea856c5a9f44b2f7961d8f	7dcaa97f3a3e1159602739d67f8c0bc13355ad2539ab1df49edf15f85f1f8774	PASS	PASS
ERR11178424	f_32d_sporocysts_r4	1	ERR11178424_1.fastq.gz	1117180208	1117180208	d91b8702d09b4cf5cbd2ea0b4bbbd666	d91b8702d09b4cf5cbd2ea0b4bbbd666	b236fb85d07186226bf091bc001d054bc0c7500c85918c7cdbce7a17c3f56d60	PASS	PASS
ERR11178424	f_32d_sporocysts_r4	2	ERR11178424_2.fastq.gz	1241202070	1241202070	9deac6186ddb02e79787ceb67dd1dfc5	9deac6186ddb02e79787ceb67dd1dfc5	ec5f1bbfc1eecc02127f9af45bec005572f13b423d139d713b15c8639250e682	PASS	PASS
ERR11178272	f_32d_sporocysts_r5	1	ERR11178272_1.fastq.gz	929299095	929299095	18be502b6b9667269749a2c739a356b3	18be502b6b9667269749a2c739a356b3	6668101bb482e16e95e9c4a725bad4f7d6b32c07f108a638e7260e3cea4e153b	PASS	PASS
ERR11178272	f_32d_sporocysts_r5	2	ERR11178272_2.fastq.gz	1004234257	1004234257	83377284d357ef0183808edb85146b26	83377284d357ef0183808edb85146b26	0d0477acd30ee89432b665d516e30a8178d6d821f73d4f474716e80008225ec5	PASS	PASS
ERR11178362	f_32d_sporocysts_r5	1	ERR11178362_1.fastq.gz	931956292	931956292	4308b4f8f08c41a48c90b1413b30080c	4308b4f8f08c41a48c90b1413b30080c	4bad9e84952940580c938ba47fe1f6d410b8672091352f597136353c131ea625	PASS	PASS
ERR11178362	f_32d_sporocysts_r5	2	ERR11178362_2.fastq.gz	1027947582	1027947582	8371fe874aa311641a08ff6ae99c819d	8371fe874aa311641a08ff6ae99c819d	5ba12ea90e5ab4e5a5bfe1b1aa51b809d539d61eff887b935fe3d8c8676f6a48	PASS	PASS
ERR11178282	m_32d_sporocysts_r1	1	ERR11178282_1.fastq.gz	821946737	821946737	28235cda76283cc74f2fc8425280fc38	28235cda76283cc74f2fc8425280fc38	09d606d3d433675e0f36e7bf0c912a7d2b989a5ceb207f4e66ebcdf69a90b876	PASS	PASS
ERR11178282	m_32d_sporocysts_r1	2	ERR11178282_2.fastq.gz	868907344	868907344	bb1012d10dd9658b32ce9e0454b3b23b	bb1012d10dd9658b32ce9e0454b3b23b	6b336beb268f3be52a58771f1af293c29215994eb12af95151311728d0b4bbc4	PASS	PASS
