biological_sample_id	number_of_runs	run_accessions	r1_files	r2_files	biological_group	sex	tissue_context	pairing_state	replicate	aggregation_policy	deseq2_observation
f_32d_sporocysts_r2	2	ERR11178317;ERR11178407	ERR11178317_1.fastq.gz;ERR11178407_1.fastq.gz	ERR11178317_2.fastq.gz;ERR11178407_2.fastq.gz	sporocyst_32d_female	female	whole_organism	not_applicable	2	trim_each_run_then_concatenate_by_mate_before_salmon	f_32d_sporocysts_r2
f_32d_sporocysts_r3	2	ERR11178325;ERR11178415	ERR11178325_1.fastq.gz;ERR11178415_1.fastq.gz	ERR11178325_2.fastq.gz;ERR11178415_2.fastq.gz	sporocyst_32d_female	female	whole_organism	not_applicable	3	trim_each_run_then_concatenate_by_mate_before_salmon	f_32d_sporocysts_r3
f_32d_sporocysts_r4	2	ERR11178334;ERR11178424	ERR11178334_1.fastq.gz;ERR11178424_1.fastq.gz	ERR11178334_2.fastq.gz;ERR11178424_2.fastq.gz	sporocyst_32d_female	female	whole_organism	not_applicable	4	trim_each_run_then_concatenate_by_mate_before_salmon	f_32d_sporocysts_r4
f_32d_sporocysts_r5	2	ERR11178272;ERR11178362	ERR11178272_1.fastq.gz;ERR11178362_1.fastq.gz	ERR11178272_2.fastq.gz;ERR11178362_2.fastq.gz	sporocyst_32d_female	female	whole_organism	not_applicable	5	trim_each_run_then_concatenate_by_mate_before_salmon	f_32d_sporocysts_r5
f_cercariae_r1	2	ERR11178343;ERR11178433	ERR11178343_1.fastq.gz;ERR11178433_1.fastq.gz	ERR11178343_2.fastq.gz;ERR11178433_2.fastq.gz	cercaria_female	female	whole_organism	not_applicable	1	trim_each_run_then_concatenate_by_mate_before_salmon	f_cercariae_r1
f_cercariae_r2	2	ERR11178347;ERR11178437	ERR11178347_1.fastq.gz;ERR11178437_1.fastq.gz	ERR11178347_2.fastq.gz;ERR11178437_2.fastq.gz	cercaria_female	female	whole_organism	not_applicable	2	trim_each_run_then_concatenate_by_mate_before_salmon	f_cercariae_r2
f_cercariae_r3	2	ERR11178349;ERR11178439	ERR11178349_1.fastq.gz;ERR11178439_1.fastq.gz	ERR11178349_2.fastq.gz;ERR11178439_2.fastq.gz	cercaria_female	female	whole_organism	not_applicable	3	trim_each_run_then_concatenate_by_mate_before_salmon	f_cercariae_r3
f_cercariae_r4	2	ERR11178351;ERR11178441	ERR11178351_1.fastq.gz;ERR11178441_1.fastq.gz	ERR11178351_2.fastq.gz;ERR11178441_2.fastq.gz	cercaria_female	female	whole_organism	not_applicable	4	trim_each_run_then_concatenate_by_mate_before_salmon	f_cercariae_r4
f_cercariae_r5	2	ERR11178353;ERR11178443	ERR11178353_1.fastq.gz;ERR11178443_1.fastq.gz	ERR11178353_2.fastq.gz;ERR11178443_2.fastq.gz	cercaria_female	female	whole_organism	not_applicable	5	trim_each_run_then_concatenate_by_mate_before_salmon	f_cercariae_r5
m_26d_juveniles_r1	2	ERR11178307;ERR11178397	ERR11178307_1.fastq.gz;ERR11178397_1.fastq.gz	ERR11178307_2.fastq.gz;ERR11178397_2.fastq.gz	juvenile_26d_male	male	whole_organism	not_applicable	1	trim_each_run_then_concatenate_by_mate_before_salmon	m_26d_juveniles_r1
m_26d_juveniles_r2	2	ERR11178316;ERR11178406	ERR11178316_1.fastq.gz;ERR11178406_1.fastq.gz	ERR11178316_2.fastq.gz;ERR11178406_2.fastq.gz	juvenile_26d_male	male	whole_organism	not_applicable	2	trim_each_run_then_concatenate_by_mate_before_salmon	m_26d_juveniles_r2
m_26d_juveniles_r3	2	ERR11178324;ERR11178414	ERR11178324_1.fastq.gz;ERR11178414_1.fastq.gz	ERR11178324_2.fastq.gz;ERR11178414_2.fastq.gz	juvenile_26d_male	male	whole_organism	not_applicable	3	trim_each_run_then_concatenate_by_mate_before_salmon	m_26d_juveniles_r3
m_26d_juveniles_r4	2	ERR11178333;ERR11178423	ERR11178333_1.fastq.gz;ERR11178423_1.fastq.gz	ERR11178333_2.fastq.gz;ERR11178423_2.fastq.gz	juvenile_26d_male	male	whole_organism	not_applicable	4	trim_each_run_then_concatenate_by_mate_before_salmon	m_26d_juveniles_r4
m_26d_juveniles_r5	2	ERR11178271;ERR11178361	ERR11178271_1.fastq.gz;ERR11178361_1.fastq.gz	ERR11178271_2.fastq.gz;ERR11178361_2.fastq.gz	juvenile_26d_male	male	whole_organism	not_applicable	5	trim_each_run_then_concatenate_by_mate_before_salmon	m_26d_juveniles_r5
m_2d_somules_r1	2	ERR11178329;ERR11178419	ERR11178329_1.fastq.gz;ERR11178419_1.fastq.gz	ERR11178329_2.fastq.gz;ERR11178419_2.fastq.gz	schistosomulum_2d_male	male	whole_organism	not_applicable	1	trim_each_run_then_concatenate_by_mate_before_salmon	m_2d_somules_r1
m_2d_somules_r2	2	ERR11178267;ERR11178357	ERR11178267_1.fastq.gz;ERR11178357_1.fastq.gz	ERR11178267_2.fastq.gz;ERR11178357_2.fastq.gz	schistosomulum_2d_male	male	whole_organism	not_applicable	2	trim_each_run_then_concatenate_by_mate_before_salmon	m_2d_somules_r2
m_2d_somules_r3	2	ERR11178277;ERR11178367	ERR11178277_1.fastq.gz;ERR11178367_1.fastq.gz	ERR11178277_2.fastq.gz;ERR11178367_2.fastq.gz	schistosomulum_2d_male	male	whole_organism	not_applicable	3	trim_each_run_then_concatenate_by_mate_before_salmon	m_2d_somules_r3
m_2d_somules_r4	2	ERR11178287;ERR11178377	ERR11178287_1.fastq.gz;ERR11178377_1.fastq.gz	ERR11178287_2.fastq.gz;ERR11178377_2.fastq.gz	schistosomulum_2d_male	male	whole_organism	not_applicable	4	trim_each_run_then_concatenate_by_mate_before_salmon	m_2d_somules_r4
m_2d_somules_r5	2	ERR11178296;ERR11178386	ERR11178296_1.fastq.gz;ERR11178386_1.fastq.gz	ERR11178296_2.fastq.gz;ERR11178386_2.fastq.gz	schistosomulum_2d_male	male	whole_organism	not_applicable	5	trim_each_run_then_concatenate_by_mate_before_salmon	m_2d_somules_r5
m_32d_sporocysts_r1	2	ERR11178282;ERR11178372	ERR11178282_1.fastq.gz;ERR11178372_1.fastq.gz	ERR11178282_2.fastq.gz;ERR11178372_2.fastq.gz	sporocyst_32d_male	male	whole_organism	not_applicable	1	trim_each_run_then_concatenate_by_mate_before_salmon	m_32d_sporocysts_r1
m_32d_sporocysts_r2	2	ERR11178292;ERR11178382	ERR11178292_1.fastq.gz;ERR11178382_1.fastq.gz	ERR11178292_2.fastq.gz;ERR11178382_2.fastq.gz	sporocyst_32d_male	male	whole_organism	not_applicable	2	trim_each_run_then_concatenate_by_mate_before_salmon	m_32d_sporocysts_r2
m_32d_sporocysts_r3	2	ERR11178301;ERR11178391	ERR11178301_1.fastq.gz;ERR11178391_1.fastq.gz	ERR11178301_2.fastq.gz;ERR11178391_2.fastq.gz	sporocyst_32d_male	male	whole_organism	not_applicable	3	trim_each_run_then_concatenate_by_mate_before_salmon	m_32d_sporocysts_r3
m_32d_sporocysts_r4	2	ERR11178310;ERR11178400	ERR11178310_1.fastq.gz;ERR11178400_1.fastq.gz	ERR11178310_2.fastq.gz;ERR11178400_2.fastq.gz	sporocyst_32d_male	male	whole_organism	not_applicable	4	trim_each_run_then_concatenate_by_mate_before_salmon	m_32d_sporocysts_r4
m_32d_sporocysts_r5	2	ERR11178319;ERR11178409	ERR11178319_1.fastq.gz;ERR11178409_1.fastq.gz	ERR11178319_2.fastq.gz;ERR11178409_2.fastq.gz	sporocyst_32d_male	male	whole_organism	not_applicable	5	trim_each_run_then_concatenate_by_mate_before_salmon	m_32d_sporocysts_r5
m_cercariae_r1	2	ERR11178274;ERR11178364	ERR11178274_1.fastq.gz;ERR11178364_1.fastq.gz	ERR11178274_2.fastq.gz;ERR11178364_2.fastq.gz	cercaria_male	male	whole_organism	not_applicable	1	trim_each_run_then_concatenate_by_mate_before_salmon	m_cercariae_r1
m_cercariae_r2	2	ERR11178284;ERR11178374	ERR11178284_1.fastq.gz;ERR11178374_1.fastq.gz	ERR11178284_2.fastq.gz;ERR11178374_2.fastq.gz	cercaria_male	male	whole_organism	not_applicable	2	trim_each_run_then_concatenate_by_mate_before_salmon	m_cercariae_r2
m_cercariae_r3	2	ERR11178293;ERR11178383	ERR11178293_1.fastq.gz;ERR11178383_1.fastq.gz	ERR11178293_2.fastq.gz;ERR11178383_2.fastq.gz	cercaria_male	male	whole_organism	not_applicable	3	trim_each_run_then_concatenate_by_mate_before_salmon	m_cercariae_r3
m_cercariae_r4	2	ERR11178302;ERR11178392	ERR11178302_1.fastq.gz;ERR11178392_1.fastq.gz	ERR11178302_2.fastq.gz;ERR11178392_2.fastq.gz	cercaria_male	male	whole_organism	not_applicable	4	trim_each_run_then_concatenate_by_mate_before_salmon	m_cercariae_r4
m_cercariae_r5	2	ERR11178311;ERR11178401	ERR11178311_1.fastq.gz;ERR11178401_1.fastq.gz	ERR11178311_2.fastq.gz;ERR11178401_2.fastq.gz	cercaria_male	male	whole_organism	not_applicable	5	trim_each_run_then_concatenate_by_mate_before_salmon	m_cercariae_r5
x_1d_sporocysts_r1	2	ERR11178288;ERR11178378	ERR11178288_1.fastq.gz;ERR11178378_1.fastq.gz	ERR11178288_2.fastq.gz;ERR11178378_2.fastq.gz	sporocyst_1d_mixed	mixed	whole_organism	not_applicable	1	trim_each_run_then_concatenate_by_mate_before_salmon	x_1d_sporocysts_r1
x_1d_sporocysts_r2	2	ERR11178297;ERR11178387	ERR11178297_1.fastq.gz;ERR11178387_1.fastq.gz	ERR11178297_2.fastq.gz;ERR11178387_2.fastq.gz	sporocyst_1d_mixed	mixed	whole_organism	not_applicable	2	trim_each_run_then_concatenate_by_mate_before_salmon	x_1d_sporocysts_r2
x_1d_sporocysts_r3	2	ERR11178306;ERR11178396	ERR11178306_1.fastq.gz;ERR11178396_1.fastq.gz	ERR11178306_2.fastq.gz;ERR11178396_2.fastq.gz	sporocyst_1d_mixed	mixed	whole_organism	not_applicable	3	trim_each_run_then_concatenate_by_mate_before_salmon	x_1d_sporocysts_r3
x_1d_sporocysts_r4	2	ERR11178315;ERR11178405	ERR11178315_1.fastq.gz;ERR11178405_1.fastq.gz	ERR11178315_2.fastq.gz;ERR11178405_2.fastq.gz	sporocyst_1d_mixed	mixed	whole_organism	not_applicable	4	trim_each_run_then_concatenate_by_mate_before_salmon	x_1d_sporocysts_r4
x_1d_sporocysts_r5	2	ERR11178264;ERR11178354	ERR11178264_1.fastq.gz;ERR11178354_1.fastq.gz	ERR11178264_2.fastq.gz;ERR11178354_2.fastq.gz	sporocyst_1d_mixed	mixed	whole_organism	not_applicable	5	trim_each_run_then_concatenate_by_mate_before_salmon	x_1d_sporocysts_r5
x_2d_somules_r1	2	ERR11178305;ERR11178395	ERR11178305_1.fastq.gz;ERR11178395_1.fastq.gz	ERR11178305_2.fastq.gz;ERR11178395_2.fastq.gz	schistosomulum_2d_mixed	mixed	whole_organism	not_applicable	1	trim_each_run_then_concatenate_by_mate_before_salmon	x_2d_somules_r1
x_2d_somules_r2	2	ERR11178314;ERR11178404	ERR11178314_1.fastq.gz;ERR11178404_1.fastq.gz	ERR11178314_2.fastq.gz;ERR11178404_2.fastq.gz	schistosomulum_2d_mixed	mixed	whole_organism	not_applicable	2	trim_each_run_then_concatenate_by_mate_before_salmon	x_2d_somules_r2
x_2d_somules_r3	2	ERR11178323;ERR11178413	ERR11178323_1.fastq.gz;ERR11178413_1.fastq.gz	ERR11178323_2.fastq.gz;ERR11178413_2.fastq.gz	schistosomulum_2d_mixed	mixed	whole_organism	not_applicable	3	trim_each_run_then_concatenate_by_mate_before_salmon	x_2d_somules_r3
x_2d_somules_r4	2	ERR11178281;ERR11178371	ERR11178281_1.fastq.gz;ERR11178371_1.fastq.gz	ERR11178281_2.fastq.gz;ERR11178371_2.fastq.gz	schistosomulum_2d_mixed	mixed	whole_organism	not_applicable	4	trim_each_run_then_concatenate_by_mate_before_salmon	x_2d_somules_r4
x_2d_somules_r5	2	ERR11178291;ERR11178381	ERR11178291_1.fastq.gz;ERR11178381_1.fastq.gz	ERR11178291_2.fastq.gz;ERR11178381_2.fastq.gz	schistosomulum_2d_mixed	mixed	whole_organism	not_applicable	5	trim_each_run_then_concatenate_by_mate_before_salmon	x_2d_somules_r5
x_32d_sporocysts_r1	2	ERR11178327;ERR11178417	ERR11178327_1.fastq.gz;ERR11178417_1.fastq.gz	ERR11178327_2.fastq.gz;ERR11178417_2.fastq.gz	sporocyst_32d_mixed	mixed	whole_organism	not_applicable	1	trim_each_run_then_concatenate_by_mate_before_salmon	x_32d_sporocysts_r1
x_32d_sporocysts_r2	2	ERR11178336;ERR11178426	ERR11178336_1.fastq.gz;ERR11178426_1.fastq.gz	ERR11178336_2.fastq.gz;ERR11178426_2.fastq.gz	sporocyst_32d_mixed	mixed	whole_organism	not_applicable	2	trim_each_run_then_concatenate_by_mate_before_salmon	x_32d_sporocysts_r2
x_32d_sporocysts_r3	2	ERR11178341;ERR11178431	ERR11178341_1.fastq.gz;ERR11178431_1.fastq.gz	ERR11178341_2.fastq.gz;ERR11178431_2.fastq.gz	sporocyst_32d_mixed	mixed	whole_organism	not_applicable	3	trim_each_run_then_concatenate_by_mate_before_salmon	x_32d_sporocysts_r3
x_32d_sporocysts_r4	2	ERR11178345;ERR11178435	ERR11178345_1.fastq.gz;ERR11178435_1.fastq.gz	ERR11178345_2.fastq.gz;ERR11178435_2.fastq.gz	sporocyst_32d_mixed	mixed	whole_organism	not_applicable	4	trim_each_run_then_concatenate_by_mate_before_salmon	x_32d_sporocysts_r4
x_32d_sporocysts_r5	2	ERR11178342;ERR11178432	ERR11178342_1.fastq.gz;ERR11178432_1.fastq.gz	ERR11178342_2.fastq.gz;ERR11178432_2.fastq.gz	sporocyst_32d_mixed	mixed	whole_organism	not_applicable	5	trim_each_run_then_concatenate_by_mate_before_salmon	x_32d_sporocysts_r5
x_5d_sporocysts_r1	2	ERR11178332;ERR11178422	ERR11178332_1.fastq.gz;ERR11178422_1.fastq.gz	ERR11178332_2.fastq.gz;ERR11178422_2.fastq.gz	sporocyst_5d_mixed	mixed	whole_organism	not_applicable	1	trim_each_run_then_concatenate_by_mate_before_salmon	x_5d_sporocysts_r1
x_5d_sporocysts_r2	2	ERR11178270;ERR11178360	ERR11178270_1.fastq.gz;ERR11178360_1.fastq.gz	ERR11178270_2.fastq.gz;ERR11178360_2.fastq.gz	sporocyst_5d_mixed	mixed	whole_organism	not_applicable	2	trim_each_run_then_concatenate_by_mate_before_salmon	x_5d_sporocysts_r2
x_5d_sporocysts_r3	2	ERR11178280;ERR11178370	ERR11178280_1.fastq.gz;ERR11178370_1.fastq.gz	ERR11178280_2.fastq.gz;ERR11178370_2.fastq.gz	sporocyst_5d_mixed	mixed	whole_organism	not_applicable	3	trim_each_run_then_concatenate_by_mate_before_salmon	x_5d_sporocysts_r3
x_5d_sporocysts_r4	2	ERR11178290;ERR11178380	ERR11178290_1.fastq.gz;ERR11178380_1.fastq.gz	ERR11178290_2.fastq.gz;ERR11178380_2.fastq.gz	sporocyst_5d_mixed	mixed	whole_organism	not_applicable	4	trim_each_run_then_concatenate_by_mate_before_salmon	x_5d_sporocysts_r4
x_5d_sporocysts_r5	2	ERR11178299;ERR11178389	ERR11178299_1.fastq.gz;ERR11178389_1.fastq.gz	ERR11178299_2.fastq.gz;ERR11178389_2.fastq.gz	sporocyst_5d_mixed	mixed	whole_organism	not_applicable	5	trim_each_run_then_concatenate_by_mate_before_salmon	x_5d_sporocysts_r5
x_cercariae_r1	2	ERR11178320;ERR11178410	ERR11178320_1.fastq.gz;ERR11178410_1.fastq.gz	ERR11178320_2.fastq.gz;ERR11178410_2.fastq.gz	cercaria_mixed	mixed	whole_organism	not_applicable	1	trim_each_run_then_concatenate_by_mate_before_salmon	x_cercariae_r1
x_cercariae_r2	2	ERR11178328;ERR11178418	ERR11178328_1.fastq.gz;ERR11178418_1.fastq.gz	ERR11178328_2.fastq.gz;ERR11178418_2.fastq.gz	cercaria_mixed	mixed	whole_organism	not_applicable	2	trim_each_run_then_concatenate_by_mate_before_salmon	x_cercariae_r2
x_cercariae_r3	2	ERR11178337;ERR11178427	ERR11178337_1.fastq.gz;ERR11178427_1.fastq.gz	ERR11178337_2.fastq.gz;ERR11178427_2.fastq.gz	cercaria_mixed	mixed	whole_organism	not_applicable	3	trim_each_run_then_concatenate_by_mate_before_salmon	x_cercariae_r3
x_cercariae_r4	2	ERR11178265;ERR11178355	ERR11178265_1.fastq.gz;ERR11178355_1.fastq.gz	ERR11178265_2.fastq.gz;ERR11178355_2.fastq.gz	cercaria_mixed	mixed	whole_organism	not_applicable	4	trim_each_run_then_concatenate_by_mate_before_salmon	x_cercariae_r4
x_cercariae_r5	2	ERR11178275;ERR11178365	ERR11178275_1.fastq.gz;ERR11178365_1.fastq.gz	ERR11178275_2.fastq.gz;ERR11178365_2.fastq.gz	cercaria_mixed	mixed	whole_organism	not_applicable	5	trim_each_run_then_concatenate_by_mate_before_salmon	x_cercariae_r5
x_eggs_r1	2	ERR11178266;ERR11178356	ERR11178266_1.fastq.gz;ERR11178356_1.fastq.gz	ERR11178266_2.fastq.gz;ERR11178356_2.fastq.gz	egg_mixed	mixed	whole_organism	not_applicable	1	trim_each_run_then_concatenate_by_mate_before_salmon	x_eggs_r1
x_eggs_r2	2	ERR11178276;ERR11178366	ERR11178276_1.fastq.gz;ERR11178366_1.fastq.gz	ERR11178276_2.fastq.gz;ERR11178366_2.fastq.gz	egg_mixed	mixed	whole_organism	not_applicable	2	trim_each_run_then_concatenate_by_mate_before_salmon	x_eggs_r2
x_eggs_r3	2	ERR11178286;ERR11178376	ERR11178286_1.fastq.gz;ERR11178376_1.fastq.gz	ERR11178286_2.fastq.gz;ERR11178376_2.fastq.gz	egg_mixed	mixed	whole_organism	not_applicable	3	trim_each_run_then_concatenate_by_mate_before_salmon	x_eggs_r3
x_eggs_r4	2	ERR11178295;ERR11178385	ERR11178295_1.fastq.gz;ERR11178385_1.fastq.gz	ERR11178295_2.fastq.gz;ERR11178385_2.fastq.gz	egg_mixed	mixed	whole_organism	not_applicable	4	trim_each_run_then_concatenate_by_mate_before_salmon	x_eggs_r4
x_eggs_r5	2	ERR11178304;ERR11178394	ERR11178304_1.fastq.gz;ERR11178394_1.fastq.gz	ERR11178304_2.fastq.gz;ERR11178394_2.fastq.gz	egg_mixed	mixed	whole_organism	not_applicable	5	trim_each_run_then_concatenate_by_mate_before_salmon	x_eggs_r5
x_miracidia_r1	2	ERR11178313;ERR11178403	ERR11178313_1.fastq.gz;ERR11178403_1.fastq.gz	ERR11178313_2.fastq.gz;ERR11178403_2.fastq.gz	miracidium_mixed	mixed	whole_organism	not_applicable	1	trim_each_run_then_concatenate_by_mate_before_salmon	x_miracidia_r1
x_miracidia_r2	2	ERR11178322;ERR11178412	ERR11178322_1.fastq.gz;ERR11178412_1.fastq.gz	ERR11178322_2.fastq.gz;ERR11178412_2.fastq.gz	miracidium_mixed	mixed	whole_organism	not_applicable	2	trim_each_run_then_concatenate_by_mate_before_salmon	x_miracidia_r2
x_miracidia_r3	2	ERR11178330;ERR11178420	ERR11178330_1.fastq.gz;ERR11178420_1.fastq.gz	ERR11178330_2.fastq.gz;ERR11178420_2.fastq.gz	miracidium_mixed	mixed	whole_organism	not_applicable	3	trim_each_run_then_concatenate_by_mate_before_salmon	x_miracidia_r3
x_miracidia_r4	2	ERR11178268;ERR11178358	ERR11178268_1.fastq.gz;ERR11178358_1.fastq.gz	ERR11178268_2.fastq.gz;ERR11178358_2.fastq.gz	miracidium_mixed	mixed	whole_organism	not_applicable	4	trim_each_run_then_concatenate_by_mate_before_salmon	x_miracidia_r4
x_miracidia_r5	2	ERR11178278;ERR11178368	ERR11178278_1.fastq.gz;ERR11178368_1.fastq.gz	ERR11178278_2.fastq.gz;ERR11178368_2.fastq.gz	miracidium_mixed	mixed	whole_organism	not_applicable	5	trim_each_run_then_concatenate_by_mate_before_salmon	x_miracidia_r5
