analysis_id	variable	contrast	level_a	level_b	gene_id	group	gene_name	gene_display_label	description	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	biotype	source_file	result_dir	deg_project	deg_mode	contrast_label	padj_num	log2FoldChange_num	neg_log10_padj	significant
smansoni_prjeb32839_primary	condition	condition__miracidium_mixed_vs_egg_mixed	miracidium_mixed	egg_mixed	Smp_130470	Readers	Smp_130470	Smp_130470		4406.54504313159	-0.541688565109155	0.312181651221305	-1.73517105502512	0.0827105117140205	0.119012655143862	protein_coding	DEGs_all_results.tsv	.	.	unknown	. | condition__miracidium_mixed_vs_egg_mixed	0.119012655143862	-0.541688565109155	0.9244068556921212	FALSE
smansoni_prjeb32839_primary	condition	condition__miracidium_mixed_vs_egg_mixed	miracidium_mixed	egg_mixed	Smp_027300	Readers; Writers	Smp_027300	Smp_027300		1296.29458990007	0.273657730189106	0.158131148169878	1.73057448425733	0.0835276858491835	0.120004525736795	protein_coding	DEGs_all_results.tsv	.	.	unknown	. | condition__miracidium_mixed_vs_egg_mixed	0.120004525736795	0.273657730189106	0.9208023750735952	FALSE
smansoni_prjeb32839_primary	condition	condition__miracidium_mixed_vs_egg_mixed	miracidium_mixed	egg_mixed	Smp_055310	Writers	Smp_055310	Smp_055310		1119.11714353247	-0.236927140157498	0.143547095720425	-1.65051852124505	0.0988369283544766	0.139228182075271	protein_coding	DEGs_all_results.tsv	.	.	unknown	. | condition__miracidium_mixed_vs_egg_mixed	0.139228182075271	-0.236927140157498	0.8562728474770708	FALSE
smansoni_prjeb32839_primary	condition	condition__miracidium_mixed_vs_egg_mixed	miracidium_mixed	egg_mixed	Smp_105690	Readers	Smp_105690	Smp_105690		3486.66851744267	-0.340666050012665	0.206932840207273	-1.64626382971131	0.0997094528704756	0.140336071593625	protein_coding	DEGs_all_results.tsv	.	.	unknown	. | condition__miracidium_mixed_vs_egg_mixed	0.140336071593625	-0.340666050012665	0.8528306847766363	FALSE
smansoni_prjeb32839_primary	condition	condition__miracidium_mixed_vs_egg_mixed	miracidium_mixed	egg_mixed	Smp_034000	Erasers	Smp_034000	Smp_034000		5261.5773278667	-0.293712467891681	0.195005103929089	-1.50617836135451	0.132021392724659	0.180315610495954	protein_coding	DEGs_all_results.tsv	.	.	unknown	. | condition__miracidium_mixed_vs_egg_mixed	0.180315610495954	-0.293712467891681	0.7439666733952884	FALSE
smansoni_prjeb32839_primary	condition	condition__miracidium_mixed_vs_egg_mixed	miracidium_mixed	egg_mixed	Smp_070170	Writers	Smp_070170	Smp_070170		2067.50396203447	-0.342185127909341	0.238895402943796	-1.43236380312368	0.152039732035823	0.204404563498086	protein_coding	DEGs_all_results.tsv	.	.	unknown	. | condition__miracidium_mixed_vs_egg_mixed	0.204404563498086	-0.342185127909341	0.689509412451645	FALSE
smansoni_prjeb32839_primary	condition	condition__miracidium_mixed_vs_egg_mixed	miracidium_mixed	egg_mixed	Smp_041750	Readers	Smp_041750	Smp_041750		3557.60311615714	-0.367521157866052	0.271313807306134	-1.35459806308848	0.175545650928472	0.231959187143671	protein_coding	DEGs_all_results.tsv	.	.	unknown	. | condition__miracidium_mixed_vs_egg_mixed	0.231959187143671	-0.367521157866052	0.634588421822584	FALSE
smansoni_prjeb32839_primary	condition	condition__miracidium_mixed_vs_egg_mixed	miracidium_mixed	egg_mixed	Smp_078280	Readers	Smp_078280	Smp_078280		1064.43362120423	0.257195422769663	0.197358466095958	1.30318920620619	0.192510174230585	0.251825232591967	protein_coding	DEGs_all_results.tsv	.	.	unknown	. | condition__miracidium_mixed_vs_egg_mixed	0.251825232591967	0.257195422769663	0.59890075625187	FALSE
smansoni_prjeb32839_primary	condition	condition__miracidium_mixed_vs_egg_mixed	miracidium_mixed	egg_mixed	Smp_070340	Writers	Smp_070340	Smp_070340		4500.55093089513	0.268267222538427	0.207261831108149	1.29433973010904	0.195548098802615	0.255287312551013	protein_coding	DEGs_all_results.tsv	.	.	unknown	. | condition__miracidium_mixed_vs_egg_mixed	0.255287312551013	0.268267222538427	0.592970768533017	FALSE
smansoni_prjeb32839_primary	condition	condition__miracidium_mixed_vs_egg_mixed	miracidium_mixed	egg_mixed	Smp_079650	Readers	Smp_079650	Smp_079650		7141.36997642743	0.336218486379448	0.265405042532968	1.26681272959493	0.205222259329432	0.266424121756145	protein_coding	DEGs_all_results.tsv	.	.	unknown	. | condition__miracidium_mixed_vs_egg_mixed	0.266424121756145	0.336218486379448	0.5744264571618987	FALSE
