gene_id	PRJNA602528__pzq_0h	PRJNA602528__pzq_0p25h	PRJNA602528__pzq_12h	PRJNA602528__pzq_1h	PRJNA602528__pzq_24h	PRJNA602528__pzq_3h	PRJNA602528__pzq_48h	PRJNA602528__pzq_6h	PRJNA602528__pzq_96h	PRJNA602528__pzq_9h
Smp_096290	5516.751412007733	6678.036092001965	5099.153981655142	5095.812554984478	6154.281906537055	5361.088794924539	5769.356881696414	4902.583194080641	4390.631749939407	6000.141917408819
Smp_096310	1949.753997264196	1994.424038120307	1991.8157129087815	1554.039814434143	2307.5957698438087	1263.0079254664793	2179.568530224937	1542.7184147780963	1853.0402375302428	1357.343946556046
Smp_096320	873.8794580370895	774.0515497500204	1412.2472768180478	952.0439899479239	1153.2355141815888	805.785765887559	930.5186299211122	804.8280980331663	655.8744597925589	689.1931893365426
Smp_096360	649.0604384929053	712.5708159241021	453.98048273573824	516.4784015863714	591.2280410661905	510.0470536622482	642.399533249703	462.22003714439273	514.3632429047253	521.0018635439292
Smp_096390	155.82515696127925	146.95904852498182	181.05684215166391	155.8834017650007	199.45447023629185	170.10166615193566	221.7214399688486	146.02922433494655	203.38670063207783	191.00971411401855
Smp_096410	664.9572646236232	867.7803672611273	350.0542374827639	394.7341497794006	327.0100940443284	346.1599024920186	343.0223794195343	362.03852233840126	415.0511114975397	527.0147042592484
Smp_096450	3344.5976104160345	3213.8687785949814	2976.888631169544	2680.077307478934	3916.4336298145445	2440.9388188804623	3301.54552952805	2651.136561223145	3174.671348730231	2300.1913003799136
Smp_096480	269.2926086940954	269.98557043081155	107.00185739839907	244.9683044085034	111.95512737015899	185.91849070113497	141.06420144380118	161.908788604779	107.10017559901397	191.97260847429783
Smp_096520	225.6557080429833	156.0439796501189	139.00466730820736	209.9708638131839	151.94624810161926	215.9150635645058	129.05483080517553	180.9038337708705	129.74892924122787	185.059219686655
Smp_096640	1674.3833961381108	1718.064979623755	1956.2414582050815	1537.8914010880997	2191.5857943626847	1401.0340419621032	1898.1640991503134	1331.6161606927867	1771.0754570541765	1306.7350367324068
Smp_096720	2875.6455956207847	3158.342057576836	2460.4709762710613	2879.6210687055013	2176.102360336903	2692.6176891031355	2197.880109081052	2385.2174147601195	1967.2951192508697	2428.730617119072
Smp_096750	6677.509905198416	5178.117417534087	5882.017610776809	7038.529163271003	6767.372481988669	8041.059522600154	5410.669776162449	5561.495158489065	2655.3593034712258	4999.499482099497
Smp_096760	17812.865770190674	18479.93807697887	12557.723184477889	14741.120790993964	13655.50217381575	13640.479096781319	14495.176152118189	13921.903557679838	12502.287884189931	14435.81427408241
Smp_096780	1415.8683344678013	1414.1648545401865	1131.0779696661439	1136.7624554558345	1347.4961815217973	1103.9175914866341	1564.7007993442091	1076.81594232907	1342.3808240505182	1216.8120092282654
Smp_096790	26834.980836217677	25608.630021362897	24150.87515715276	22609.05417801389	24756.00921335316	23630.047909170087	18171.571780381124	23087.747130151885	24864.438219008425	29514.067644250423
Smp_096900	1275.0454244113155	1514.1044665921595	921.1586403673497	955.8587626529554	926.9929207220341	987.1692377865602	1012.4490683120025	841.6197853868935	703.7372820999833	947.4261054722808
Smp_096910	1039.3675072257959	855.6629477686708	650.6919308727961	934.142325950899	561.9219817876872	931.9215851875562	688.3964010606786	725.966473085019	464.53999382353607	605.8706637427906
Smp_096920	0	0	0	0	0	0	0	0	0	0
Smp_097020	3054.543893293506	2816.572493636675	2951.313603149977	2338.74786687408	2813.566746881604	1975.9746989002008	2885.610001094909	2189.317533830387	2957.0595226126475	1997.272089777462
Smp_097180	839.967725431514	1085.7993628018066	965.4887433219031	604.2868936411222	867.3674940659051	625.8539881914639	1469.9033040444172	611.2433766571663	1622.436373369449	691.9712704518927
Smp_097210	992.7176269673706	1044.154550670514	948.3611065500406	761.0018842128437	1113.5754005967547	772.7496755609252	1124.5813372754058	781.5706287108553	840.8499683187907	799.8588454721482
Smp_097240	2230.4543455632706	2308.598228869498	1271.0061645293097	1869.667754315631	1337.078267925116	1736.2886417016862	1860.985838469238	1426.2242610815413	2028.8426969113261	1521.3875183909956
Smp_097280	511.8632386582457	402.097789870258	385.3631490607683	534.321926277103	416.87257842571984	552.8321777073646	363.12778797523566	431.125657487679	313.20594463824307	415.01570672315296
Smp_097320	2339.7523371261204	2613.1208484325057	1835.7120870210347	1652.7306138226156	2116.9081831793073	1622.384678750417	2826.5991426772903	1371.271327285556	3573.8304962850916	1616.4063960520443
Smp_097370	507.06010047289413	397.55962637133456	574.0247966757235	446.72633048649817	596.8122002946453	428.84858190458425	453.64299601524027	368.8108903635197	318.27618433957576	388.1324823064021
Smp_097380	4545.697191681373	3892.3790281753827	3512.165849749846	3576.7849574080606	4379.576422984729	4062.7835866495648	3733.8094298307615	3488.73751551229	1892.3995590977772	3165.5764514896828
Smp_097460	442.3097296883649	278.18318555985525	617.0766716399204	538.3947923352134	383.2851236308172	577.786162339307	574.2333192554906	274.62352605236714	499.3799376694221	567.838916994408
Smp_097490	1403.8186425390822	1617.2011367683363	1127.307072118085	1154.7348750990566	1255.568913465107	1164.403992480808	1438.2154155885053	1079.2165657200344	1628.360818104386	1437.0047977752122
Smp_097500	660.0617525883866	720.9796067660516	614.2517558379261	654.9415609912635	727.7344747391728	531.5277778469178	928.4460028847121	619.8112328455436	579.5814969217014	601.9745137341291
Smp_097560	798.9820775141541	926.0177247147955	653.3593990612502	634.7276285038674	878.8380074186986	632.780205816661	986.9887819446028	605.0178712944834	775.6784747688391	658.7231199234
Smp_097590	1920.9240538089305	1682.399471808856	1639.9463185413092	1822.1214168359786	1551.9570888730132	1800.1765637854187	1345.5859759787606	1457.8439400584043	1131.335355236198	1562.8161789708072
Smp_097620	1488.6536246650624	1356.7559067418597	975.0556341144433	1249.2413477700354	1033.5489856271258	1156.0874268986188	1008.5363354676381	1027.0996720221751	615.4925546252268	978.9067939090235
Smp_097660	12353.304797184526	14039.944188951618	8432.570951029082	10446.048557191609	9537.388741580982	10350.53222242643	10102.15643214346	9218.843869291792	9291.13670168441	9055.45075516614
