	PRJNA597909__adult_control_r1	PRJNA597909__adult_control_r2	PRJNA597909__adult_control_r3	PRJNA597909__adult_control_r4	PRJNA597909__adult_control_r5	PRJNA597909__adult_pzq_r1	PRJNA597909__adult_pzq_r2	PRJNA597909__adult_pzq_r3	PRJNA597909__adult_pzq_r4	PRJNA597909__adult_pzq_r5	PRJNA597909__juvenile_control_r1	PRJNA597909__juvenile_control_r2	PRJNA597909__juvenile_control_r3	PRJNA597909__juvenile_control_r4	PRJNA597909__juvenile_control_r5	PRJNA597909__juvenile_pzq_r1	PRJNA597909__juvenile_pzq_r2	PRJNA597909__juvenile_pzq_r3	PRJNA597909__juvenile_pzq_r4	PRJNA597909__juvenile_pzq_r5
Smp_001020	491.358652079747	456.090598293785	436.831683819429	507.000915821014	442.7180803163	608.93937252251	517.382545738746	511.595809148672	522.008358009235	503.071326205195	344.618517492787	394.459567330023	379.304779967533	380.228829184662	383.682074457498	332.362045908423	365.586340590762	363.658152529618	361.489194504315	345.250319161893
Smp_001030	993.356960011615	1066.08831206119	1018.32222589714	1016.91005869263	879.156471550098	778.366039181801	825.112685986835	826.349040301092	832.916889344685	842.938911133119	795.273501906431	821.974405665354	940.675854319482	1052.06947045404	848.95729892621	798.079233693683	875.19154262637	734.367848183078	657.347785971824	720.61593096096
Smp_001040	15000.9475100488	12947.9053182291	14702.859876528	13967.245115008	13742.0529422057	16212.1387443923	16722.703674008	16265.8233263041	14732.8247235094	13388.5955795245	12416.8702764324	12725.1774946772	13303.8442253755	15037.0712853436	13944.6578757262	13771.4829207425	14938.0794440177	14761.9018481136	13791.8024381632	13003.3531422657
Smp_001070	279.532776478439	269.33745207884	279.800686368	231.688755031018	213.509428805024	355.795999984511	317.627893297004	317.676635776128	380.686298311303	365.105276878018	303.264295393652	323.94165585203	350.044125512895	208.146947141739	240.894061937872	225.677932406954	272.527999349477	246.804009334505	234.395010845737	225.864694778809
Smp_001080	815.384534848872	718.85884422436	664.288704370286	702.821537227982	695.998873310495	655.78086271655	646.053335374643	646.07242183918	634.182742894468	635.148580744017	990.380601040808	895.797844243878	860.479986554918	764.579380094903	735.309697124876	836.034158689398	781.025363989355	868.347167536095	897.993330440114	878.721217306126
Smp_001090	931.453507781095	1036.99611340459	1018.32222589714	1050.83937428294	1030.9156243772	957.758980350462	1025.7671341603	1033.91076858427	1172.08983261972	1023.80903677546	1084.75305660037	987.2507606919	1044.71373682486	1055.16076174822	1115.1063834866	1069.9185613657	970.465558659114	1026.50320617086	1051.13140419266	1130.39902005966
Smp_001095	503.932790814071	509.582705501081	489.175349636572	510.878551888478	469.930066340469	502.300235272251	541.677030495174	565.191560583294	570.587816030399	620.005965573961	395.516021614798	377.931931827368	446.495912418925	423.506907303242	433.220772678592	447.252629679236	437.595771313185	399.923231452239	406.284685465945	360.30796548048
Smp_001100	4384.50545251475	4320.66072951561	4484.42460600686	4308.05367095332	4069.23852546046	2220.48596068765	2363.76338722728	1889.49385512243	1384.95618503973	1151.6800093226	8065.13367400041	8004.88479511904	8473.66878447469	8890.55376207389	8127.26054933135	5367.03155615084	5394.06027980733	4433.40589829044	3753.44544034308	5329.33125061427
Smp_001120	477.817271904321	495.505835183371	414.942514477715	450.775192842775	422.832398221714	344.833098024204	363.517475614702	343.987277389488	354.188412117941	412.215635184859	79.5273501906431	93.6566011817093	112.707706047496	172.081882042923	165.128994070316	88.2195553954457	150.665885819223	72.5301578452423	70.8393810556007	72.061593096096
Smp_001160	187.644839573762	189.568520278487	178.920166793143	154.136033681723	155.945612215434	170.423294110228	151.165682928886	172.480872798695	166.936683018182	169.092536065626	217.374757187758	261.136640941942	279.60180923321	319.433433732372	268.091778608277	309.794252667728	381.096064130976	282.06172495372	247.937833694602	288.246372384384
Smp_001170	4412.55545430671	4900.62778660524	4965.98633152458	4971.12943848978	4952.58145639889	4102.11858805671	3953.70244517574	4024.55369863622	4456.94445772352	4116.26755706023	4036.80829567704	3977.65094430554	3902.50432189453	4175.30410801152	4287.52576368455	4275.57101032811	3835.33306401581	4095.93919164938	4201.40034995937	4260.23836199457
