study	sample	run	layout	stage	sex	tissue	condition	treatment	time	replicate	batch	source
PRJEB14695	whole_male_single_sex_r3	ERR506113	PAIRED	adult	male	whole_worm	whole_male_single_sex	untreated	not_applicable	3	not_declared	ENA
PRJEB14695	whole_male_single_sex_r3	ERR667067	PAIRED	adult	male	whole_worm	whole_male_single_sex	untreated	not_applicable	3	not_declared	ENA
PRJEB14695	whole_male_single_sex_r3	ERR667091	PAIRED	adult	male	whole_worm	whole_male_single_sex	untreated	not_applicable	3	not_declared	ENA
PRJEB14695	whole_male_single_sex_r3	ERR667115	PAIRED	adult	male	whole_worm	whole_male_single_sex	untreated	not_applicable	3	not_declared	ENA
PRJEB14695	whole_male_single_sex_r3	ERR667139	PAIRED	adult	male	whole_worm	whole_male_single_sex	untreated	not_applicable	3	not_declared	ENA
PRJEB32839	f_26d_juveniles_r1	ERR11178331	PAIRED	juvenile_26d	female	whole_organism	juvenile_26d_female	untreated	not_applicable	1	not_declared	ENA
PRJEB32839	f_26d_juveniles_r1	ERR11178421	PAIRED	juvenile_26d	female	whole_organism	juvenile_26d_female	untreated	not_applicable	1	not_declared	ENA
PRJEB32839	f_26d_juveniles_r2	ERR11178269	PAIRED	juvenile_26d	female	whole_organism	juvenile_26d_female	untreated	not_applicable	2	not_declared	ENA
PRJEB32839	f_26d_juveniles_r2	ERR11178359	PAIRED	juvenile_26d	female	whole_organism	juvenile_26d_female	untreated	not_applicable	2	not_declared	ENA
PRJEB32839	f_26d_juveniles_r3	ERR11178279	PAIRED	juvenile_26d	female	whole_organism	juvenile_26d_female	untreated	not_applicable	3	not_declared	ENA
PRJEB32839	f_26d_juveniles_r3	ERR11178369	PAIRED	juvenile_26d	female	whole_organism	juvenile_26d_female	untreated	not_applicable	3	not_declared	ENA
PRJEB32839	f_26d_juveniles_r4	ERR11178289	PAIRED	juvenile_26d	female	whole_organism	juvenile_26d_female	untreated	not_applicable	4	not_declared	ENA
PRJEB32839	f_26d_juveniles_r4	ERR11178379	PAIRED	juvenile_26d	female	whole_organism	juvenile_26d_female	untreated	not_applicable	4	not_declared	ENA
PRJEB32839	f_26d_juveniles_r5	ERR11178298	PAIRED	juvenile_26d	female	whole_organism	juvenile_26d_female	untreated	not_applicable	5	not_declared	ENA
PRJEB32839	f_26d_juveniles_r5	ERR11178388	PAIRED	juvenile_26d	female	whole_organism	juvenile_26d_female	untreated	not_applicable	5	not_declared	ENA
PRJEB32839	f_2d_somules_r1	ERR11178285	PAIRED	schistosomulum_2d	female	whole_organism	schistosomulum_2d_female	untreated	not_applicable	1	not_declared	ENA
PRJEB32839	f_2d_somules_r1	ERR11178375	PAIRED	schistosomulum_2d	female	whole_organism	schistosomulum_2d_female	untreated	not_applicable	1	not_declared	ENA
PRJEB32839	f_2d_somules_r2	ERR11178294	PAIRED	schistosomulum_2d	female	whole_organism	schistosomulum_2d_female	untreated	not_applicable	2	not_declared	ENA
PRJEB32839	f_2d_somules_r2	ERR11178384	PAIRED	schistosomulum_2d	female	whole_organism	schistosomulum_2d_female	untreated	not_applicable	2	not_declared	ENA
PRJEB32839	f_2d_somules_r3	ERR11178303	PAIRED	schistosomulum_2d	female	whole_organism	schistosomulum_2d_female	untreated	not_applicable	3	not_declared	ENA
