gene_id	Intercept	condition_ovary_single_sex_vs_ovary_mixed_sex	condition_testis_mixed_sex_vs_ovary_mixed_sex	condition_testis_single_sex_vs_ovary_mixed_sex	condition_whole_female_mixed_sex_vs_ovary_mixed_sex	condition_whole_female_single_sex_vs_ovary_mixed_sex	condition_whole_male_mixed_sex_vs_ovary_mixed_sex	condition_whole_male_single_sex_vs_ovary_mixed_sex
Smp_203170	10.2881126419311	-2.10462573340364	-2.33380572638067	-2.73720480691736	-0.468697279508916	-1.19417796964292	-1.19957156619404	-1.90588339265695
Smp_203190	3.56182073738231	1.17872663870309	1.25471284865951	1.52098314416894	5.7845949539234	6.2136550925531	5.86188988500609	6.17005605008164
Smp_203200	5.65612566989852	1.03626024133436	1.10187968389909	1.1037994464435	0.571694380197806	-0.155499843614096	0.504291506270749	0.261610284624389
Smp_203270	-1.68629132947189	5.39195043098034	4.89593285333938	3.77184791820548	2.51496068950233	5.74837757940988	0.599429146734836	1.89303697731598
Smp_203280	12.8755862102192	-0.226128669040422	-0.175859160338479	-0.452772818770508	-0.0850250020852306	0.369681819880713	-0.273296971982126	-0.0673447556626959
Smp_203310	2.86023489210291	1.9289218304765	6.67729343059739	6.55336514154056	4.66361117598409	5.380511954393	5.12867708969354	5.34110406392131
Smp_203390	10.5623081574951	-0.191700410434379	-0.456634490048525	-0.273123621857923	-0.542566796751205	-1.27023928329524	-0.398303786278293	-0.182905044484871
Smp_203400	-1.68617366695749	-1.24873305484847	2.47555455225089	2.72103669946808	0.472200071077651	2.56606166471676	1.31098138361001	0.367655433639572
Smp_203410	7.99898259132076	0.59402970206681	2.26705000377036	2.09530327178571	-1.55967258404013	-0.573709771725814	-1.26861814974503	-0.732201676288544
Smp_203480	10.8934855778748	-0.66853064460505	-0.586664861519442	-0.687876696847804	-0.391905075753096	-1.1341229756854	-0.200814925557874	-0.105737784235955
Smp_203500	3.23211766228393	0.00758066054774291	0.212975853856721	-1.88567343459074	2.93493929073531	2.90186511095135	3.38460528481715	3.06171411954797
Smp_203580	2.02752229951417	0.271351604376431	-0.922856679712707	-0.748401479327257	7.88800183386018	8.30435252100821	8.64890816852177	8.87571564508261
Smp_203600	7.94853012747016	1.59161993043457	2.67305584135676	2.25631195154519	0.979713740260607	0.895181395080892	1.49022641830016	1.68933435572366
Smp_203630	12.916068620782	0.0221944875939447	0.202767070173974	0.185027418608866	-0.87312254722757	-0.804454928312371	-0.691393619461658	-0.565930812819418
Smp_203635	15.9047338517908	-0.664673909464384	-0.875399179882251	-0.64587410981624	-1.70422138544582	-2.15775735141385	-1.92870913152053	-2.02982875812223
Smp_203680	2.23197721684613	-1.07309450447268	1.03022776610033	-0.459661083441235	-0.881691021287349	-2.78665795804263	-2.53644243209261	-0.0691958095566435
Smp_203720	5.69415162264993	-4.55837484828977	-2.06428785010936	-2.33127088670973	-2.84834285684723	-3.91346525824415	-4.05142619669609	-4.10892848931152
Smp_203810	11.4091654072346	0.0312241328798167	-0.419580011358257	-0.362923735871272	0.469187228515355	-0.013372812516504	0.308191341319461	0.160983584776004
Smp_203830	10.2661668607874	-0.706327934702958	-2.92565200763764	-2.71388247554275	-1.17553590977725	1.59227863434121	-0.459714529535907	2.33726223701213
Smp_203950	5.1033522097751	1.85076874006748	2.44776238890252	2.64868432278025	4.88436099689891	5.53195350295558	5.66242997755425	5.9262889773134
Smp_203970	9.94345140744056	-0.143512595453026	-0.0551387586750946	-0.255596228082682	0.578096014693475	0.105313110391212	0.188622713642337	-0.106259516157919
Smp_203990	2.62332749946142	2.00360086855522	2.00437503788332	0.36866519883099	0.377549406312664	-0.741863996318339	-0.338114026569863	0.0583087080710108
Smp_204010	10.6301646564262	-0.297041258057484	-2.30199331579833	-1.98092837185737	-1.3139129102919	-1.06541084352584	-1.14277605627329	-0.391834546608139
Smp_204020	1.72456264588656	0.537332162041998	-1.29938480501298	-4.27982088376359	2.74311988794613	1.30117159096407	3.02623751276517	4.09629811267938
Smp_204040	4.8907061535488	2.776368389039	0.645890648271365	1.37476828155857	2.04139061535312	1.04091649369733	2.27331633218275	2.4052231385291
Smp_204060	0.663278476769262	1.08278991839273	5.18330016794098	1.33959981541492	-17.3134518658657	0.664773253293537	-0.547006823310912	0.742243999108542
Smp_204070	9.25461572927936	-0.256150569637183	0.959530671483769	0.572364314897277	0.304564254767926	0.175060026931978	0.337575731752112	0.865243506301838
Smp_204120	-0.742740632582227	0.273607277105528	4.14419536528434	3.33016921531385	7.86679206735491	8.70407622858546	7.9553774222113	7.67666724610841
Smp_204150	10.2402886619947	0.707093858338038	1.39614062578438	0.977756049865628	-0.838567161701587	-0.994374634043026	-1.09225931226721	-0.697648957855313
Smp_204160	6.91754655811991	3.05995645703536	2.47467698810131	2.48983407828691	2.17055957966418	2.25425224522144	1.97090337771363	1.81875852313497
Smp_204230	-1.68645762417874	3.61003671737415	4.02753962384009	4.67266131016952	8.13222618815026	7.99257229969995	8.52114704874123	8.29105249788228
Smp_204250	-2.64839203877293	4.21286853065374	7.88779070726256	7.55520928616624	4.47587869036427	4.63667677461918	4.42596457385681	3.55068174652795
Smp_204260	6.8827057828864	1.17246652141786	0.688166517632047	1.04709598424356	1.04870558392062	0.526565215302883	1.95533713039853	1.24806007161776
Smp_204350	3.33222676898166	1.18312258878413	0.177587248697054	1.34652518711498	-0.034202666533027	-0.391033873244841	0.347240402595709	0.106558182417149
Smp_204380	9.39757640531185	0.333864631487304	0.559078069767471	0.702987313309631	1.07709392566015	0.731632439538136	1.29027525752817	1.52135142232051
Smp_204390	1.09752875551179	3.125606605778	-2.2047726080766	2.11069910632102	7.28259859696128	8.54273170375995	7.61725855666422	7.27907422327439
Smp_204420	0.448892037155627	-1.92728988729705	4.52334880533928	3.86533032339032	-0.529981742944038	-1.66111456679954	-2.49754444535919	0.433084191780585
Smp_204550	-1.68649547811026	-1.24841677865836	-0.382547571796944	-0.868768006652415	5.27980550256255	5.16929391378562	5.75464156703296	5.30715178419134
Smp_204690	-1.68602482270825	2.86809824273014	-0.383015619193755	1.52710642662886	2.54452166788655	0.822690611956266	-0.362629212833449	0.367505174347691
Smp_204710	2.64553911383356	1.65554062598719	-0.188643876076413	0.903699493304531	1.86418369579978	1.62860611819823	1.41231628881528	2.08254468866332
Smp_204720	4.62125460291437	2.59805759472057	1.87540298979961	2.78301944100766	4.04176861397874	3.14125700338859	4.79882900025104	4.33775620866209
Smp_204730	13.1435481387856	-1.30327092973029	-1.69980284230891	-1.73346891430721	-1.9814921115997	-2.6026162936117	-2.07324973889903	-2.6457572099825
Smp_204740	11.1904813645458	0.620115536806927	0.0391993276046697	0.154686670557171	0.0453052309684275	0.235495060619845	-0.06256984518936	-0.0334426052171146
Smp_204750	10.1598709994003	0.406929815494859	-0.263487396364012	-0.278195821597861	-0.268730559003963	0.206413929116147	-0.125778458699394	0.569872184995219
Smp_204770	13.4494913673618	-0.600343754258744	-0.0894129166402081	-0.159970812634433	-0.235645117400407	-0.0933581693819526	-0.240667146499286	0.0748887209379778
Smp_204820	-0.507569392119831	2.56301536793621	-1.56146788086117	0.84402921324705	1.09255750284931	0.286295407771328	0.137828074067066	0.722373105513199
Smp_204840	3.03667454986423	0.840525189080549	1.73932317091894	0.162347894411957	-0.623412191779344	0.414731481945545	0.309197494449821	-0.559178170618235
Smp_204860	11.2583991457744	-4.75458941854596	-5.30348096944354	-4.3014541801597	-3.95551805669903	-7.47438985055836	-0.443147224856814	-6.74450903576998
Smp_204880	9.99746334915642	1.59500607502834	1.24312601036833	1.21512213146293	0.500348898138322	0.398565590120826	0.83482048457362	0.739834205631304
Smp_204920	10.2802130188138	0.940329752232521	2.58476268896257	2.13202261884686	0.271124907896058	-0.0981965320695592	0.17561563354874	0.680779248128728
Smp_204940	5.57619815156026	1.43647493249459	0.685680000020011	1.55883178537268	2.088134969447	1.10538581576688	1.31155576012521	1.7419882892411
Smp_204980	5.39348406843208	3.85465787092823	1.03661053922141	1.03140438071721	1.44169786687568	0.627908017501367	0.702158837905842	-0.338948928787752
Smp_205000	1.03925245562236	-1.49457034127332	-2.14649552460768	-0.225241107446145	1.47793128289887	2.11626918435823	1.40206093097564	2.5416401241986
Smp_205170	4.21469623992717	1.94400189885562	0.9675804345337	1.65862571980378	1.03714591511148	0.883123209151709	1.18808925713391	1.38187219361826
Smp_205270	2.31469032024214	2.96109318401424	2.91189127809991	3.7140969908649	6.17396524524401	7.1375209130349	7.24874729540263	8.06321187416267
Smp_205410	13.0207348120325	-2.99306009891347	1.89093280196658	1.97554449370032	-1.77795665581252	-4.3129822407621	-2.94255738588164	-2.67526397266594
Smp_205560	14.6926256058939	-4.14776380603856	-4.96304702436878	-3.24455258651543	-2.5417421944689	-7.4632234714806	-0.302091894809753	-5.3906551863588
Smp_205570	13.0123236591083	-0.768603478267877	-1.33190831143272	-1.50042457834171	-1.18729006758109	-1.42769676973301	-1.51365612008396	-1.79262463150351
Smp_205660	11.9835935876272	1.64935507213841	1.26357742244783	1.1526588224447	0.170165687093126	-0.423218116585625	-0.00722131665796633	-0.1059738285244
Smp_205710	1.01952046952725	2.58991279829398	0.513614223863777	-1.71436276547553	4.70992774650737	5.21616739377866	5.5368266056666	5.7969310231011
Smp_205760	7.89910157177644	0.513165891110152	1.69513757263338	1.13872303972695	1.61010987062778	2.35144056531429	1.66127492529939	1.99782993557935
Smp_205840	10.09981315837	-0.0402740314759755	-0.308981252569405	-0.281451147660624	0.23003097195224	0.475316827824274	0.119474528298222	0.0970087152541206
Smp_207000	9.78891346403389	-0.67298798331604	0.448793025843664	0.577650556203049	0.334515751663904	-0.143694997349872	0.254232734782588	0.579423378503054
Smp_207020	11.1979137058814	0.259693048747774	-0.0505730166543646	0.264713010944478	0.43129267666251	-0.410019689436377	-0.0759288412431871	-0.224980420057035
Smp_207030	9.46905598745803	-0.21140497744351	0.0284663293244609	-0.100181542753879	0.626989672175658	-0.138884981139203	0.654730191383349	0.274663766822473
Smp_207040	2.51795298047463	1.44269372973566	-1.16719561212594	0.446516100095053	5.18266343901198	5.43562024173294	5.10083243623553	5.49031110587001
Smp_207050	9.39064817709352	-0.704752728960402	-0.9373963435819	-0.74461083886438	0.21138563269711	-0.0158678477320585	0.260462019789445	0.154950547683032
Smp_207070	11.711678530401	-1.38171216186188	-2.1830793659227	-2.00338711160289	-0.827322187096835	-1.41766605796411	-1.28754647218355	-1.43541329506686
Smp_207080	13.188509357759	-1.63465602829609	-1.73212474457626	-1.78212543042571	-1.18102346339381	-1.71383459156451	-1.50283530631709	-1.69118469511712
Smp_208000	9.74271991081259	-0.314656632256597	-1.16611554238969	-0.932029501321419	-0.980314036232221	-1.35782949104351	-1.02303111852828	-1.47364897547223
Smp_208010	11.1568089889156	-0.588815169872294	-1.06224584421903	-0.985740369677486	-0.749958236407612	-1.39146246212885	-1.06909278922024	-1.43031389285005
Smp_208020	10.6167865728225	-0.3015446764711	-0.806001312267701	-0.783431210646968	-0.779443527812516	-0.993296634727726	-0.817987244134728	-0.932437065273307
Smp_208050	8.6565953767978	-0.181509149089101	-0.811811109973236	-0.943237130781648	0.287655417992095	0.47421200498218	0.480247859171612	0.269885007133775
Smp_208080	10.1319464986234	-0.537492333081249	-0.203747527168448	-0.274341173257835	0.0322822951542518	0.403859374287048	0.0955833656359137	0.280371415576649
Smp_208090	11.3627173800666	0.708381002234867	0.178936749479732	0.279440923572481	0.045779706974769	-0.579722826234891	-0.107491439509875	-0.461194551084352
Smp_209030	10.3957409144544	-0.305021304556515	0.297210819502816	0.261980659847051	-0.172691278301579	-0.554840148460017	-0.163422912673006	-0.0810365045176714
Smp_209040	7.84608119528328	1.19281103284179	1.53463416317488	1.50144175222614	4.15865389323001	4.17639825483364	4.48892389434747	4.76594982816787
Smp_209050	10.4539639513238	-0.210291443101676	0.525934698656567	0.532473104476714	-0.00143832823152112	-0.588173774756698	0.211499479426882	0.219798255946361
Smp_210070	11.9657947637094	-0.158081919030428	-0.48791692972766	-0.252478898029919	-0.664255718313547	-1.16836688010411	-0.770256875335301	-0.821873541903838
Smp_210080	10.2690989223016	0.180582518877198	-0.303766697812908	-0.135029304604617	-0.357533880496581	-0.748770283413996	-0.387956824273195	-0.473798425785648
Smp_210090	10.3476942302296	0.0197500575205162	-0.606458630440831	-0.664552064521508	-0.68011456368598	-1.12368117696939	-0.603741225494309	-0.865790272217038
Smp_210120	1.75461569557342	4.50689431348484	2.3272107520285	1.99309080744642	2.78266104384478	4.39405859323003	2.56064579553096	2.48728611299891
Smp_210130	8.50321575406527	1.42902494436518	5.19683140693662	4.99310211174867	2.64774365848298	2.89917534873002	2.83147571125338	3.04099958283263
Smp_210150	10.3788132571428	-0.144315744366891	-0.0750615646687413	-0.0183197583344223	0.307913302836157	0.546018271468593	0.590440086431718	0.715242168773544
Smp_210160	9.26913186924716	-0.608768461906301	-0.839963861471	-0.259921612138653	0.39731577202811	0.395506518992196	0.00939858483254901	0.16676251217342
Smp_210170	9.48135729533172	0.795760706802669	0.0138132466398586	0.147472109633221	0.237003153754101	-0.209771848101843	0.0442220133911102	-0.553326587216746
Smp_210180	9.35153255815802	0.196098229406654	-0.206595440425487	-0.243720766190817	0.0853528571231484	0.615269575621048	-0.153157569875784	-0.00221276838918288
Smp_210200	3.24973941505239	2.40961110521726	6.73084005535445	6.19676868030339	2.83248446774265	4.71510444566237	3.39912563722094	3.74279768970022
Smp_210250	8.92698065473622	0.212217259585529	-0.0356713576798544	0.025038669970439	0.884977679600175	0.66443626624711	1.17408087501181	0.943092617234948
Smp_210280	11.2725965347978	-1.33543285152436	-1.08412199401834	-1.355973084383	-1.46612438222584	-1.44646358700246	-1.51439490835174	-1.77672526227612
Smp_210300	5.11432929040137	0.725433422626607	1.11056102072583	0.968223523998232	4.99846687664891	5.05633540981205	5.68483469626823	5.45808714027033
Smp_210310	15.6891477653207	-1.1536636696957	-1.90819251207349	-2.02549008454374	-1.49465709898719	-2.32628380586355	-2.09300266410654	-2.77373030654526
Smp_210320	10.1631555009745	0.0638603288386591	-0.376536439563154	-0.333946249228653	-1.36879766022724	-1.71565272386897	-2.04605539142568	-2.18684900670563
Smp_210330	9.73514137164605	0.200355883823141	0.20607930837194	0.164079579744257	0.63516049744908	0.182406641347393	0.595912625633177	0.296362241698582
Smp_210340	11.0196768987976	0.149065727742781	-0.00819867772634803	0.112266228291808	-0.0859298716768924	-0.158373715570626	-0.381213400797347	-0.348022780173433
Smp_210370	13.3087140513014	-0.20373422492823	-0.0415965994585998	0.000103543985391077	0.661129786925208	-0.370181611171929	0.116966765638359	-0.470376589698999
Smp_210380	11.0251153699771	-0.49372873900488	-1.05607791611473	-0.808022396214985	-0.295381825871636	-0.316808594136592	-0.599658184619651	-0.651165105847644
Smp_210390	5.96877871170922	1.72550157474334	0.584055136229689	1.47247211151741	1.04905466857186	1.17298849143425	1.03140060416526	1.44659115564688
Smp_210400	10.3268105343049	-0.547564678402871	-0.684755393806035	-0.682497157639519	-0.129182576787054	-0.0828934381893034	-0.404626099491824	-0.52081290191772
Smp_210420	10.4067499771646	-0.0108714348396704	-0.358855188469267	-0.422916692143048	0.0758234266062921	0.493649621853828	0.113221431440183	0.129741919094065
Smp_210430	12.7479682831931	-0.609087685674006	-0.159148442750481	-0.0211966065876231	0.621030242859681	0.842692568030476	0.698469621793693	0.983083339606217
Smp_210440	10.8136755277735	-0.669604780706832	-0.348715842253534	-0.292299600536872	0.175079672977937	0.209196096496695	0.0772599881052132	0.307924818094636
Smp_210450	10.331208673622	-0.70024404947784	-1.04595645214857	-1.10608207478835	-0.875154944493509	-1.15720616877824	-1.21296063975151	-1.35587659315372
Smp_210470	10.6507445499462	0.329015625640355	0.80294866840275	0.975622231997017	0.982728875205617	0.93711970558155	0.737942397732977	1.08743455583067
Smp_210480	9.95286778857412	0.612741262143131	0.226220730610754	0.272339559907272	0.40373352197809	-0.0350766934983726	0.174963351173392	-0.0884576216141131
Smp_210500	11.0282113458987	0.69932986236403	0.557405529232566	0.854496623795211	2.59828596941191	3.33059609306018	2.90798369687767	3.39418678474951
Smp_210510	4.28389763548444	2.39040560322535	3.95135750081207	3.83550676547204	2.83420916372203	3.43639878171474	3.2015019377907	3.75417986859081
Smp_210520	11.4597241417551	0.2073376080803	-0.266690750963055	-0.198809449977449	-0.882301611060483	-0.942479151554631	-1.21744189642002	-1.27554343346307
Smp_210530	9.65978273424622	0.0410316837383922	-0.82006684686674	-0.444921175210915	-0.297526633784572	-0.345566549981619	-0.439376378035159	-0.284110724931739
Smp_210540	9.03611043747428	0.0142197323563692	0.712525993313697	0.516069382682995	0.250371772127209	0.0198537250949242	0.416881477335222	0.857033670370956
Smp_210550	9.42697026804263	-0.329635239947991	-0.584097748288829	-0.364056818813235	-1.11476168390841	-0.857006975153822	-0.919249940692487	-0.833661967238904
Smp_210570	12.1266588258422	-0.618612825123177	-0.0674212917608975	-0.286616398676011	-0.567439520629931	-0.790011724600984	-0.792773935336533	-1.0210013440332
Smp_210580	9.93610227622814	-0.972850297487839	0.199075585342474	0.129413747286061	-0.397304597318528	-0.788945655082942	-0.420772086688986	-0.00198681961951524
