run_accession	biological_sample_id	biosample	technical_unit	r1_file	r2_file	condition	sex	tissue_context	pairing_state	replicate
ERR506087	whole_male_single_sex_r2	SAMEA2395947	technical_run_1	ERR506087_1.fastq.gz	ERR506087_2.fastq.gz	whole_male_single_sex	male	whole_worm	single_sex	2
ERR506111	whole_male_single_sex_r2	SAMEA2395947	technical_run_2	ERR506111_1.fastq.gz	ERR506111_2.fastq.gz	whole_male_single_sex	male	whole_worm	single_sex	2
ERR667065	whole_male_single_sex_r2	SAMEA2395947	technical_run_3	ERR667065_1.fastq.gz	ERR667065_2.fastq.gz	whole_male_single_sex	male	whole_worm	single_sex	2
ERR667089	whole_male_single_sex_r2	SAMEA2395947	technical_run_4	ERR667089_1.fastq.gz	ERR667089_2.fastq.gz	whole_male_single_sex	male	whole_worm	single_sex	2
ERR667113	whole_male_single_sex_r2	SAMEA2395947	technical_run_5	ERR667113_1.fastq.gz	ERR667113_2.fastq.gz	whole_male_single_sex	male	whole_worm	single_sex	2
ERR667137	whole_male_single_sex_r2	SAMEA2395947	technical_run_6	ERR667137_1.fastq.gz	ERR667137_2.fastq.gz	whole_male_single_sex	male	whole_worm	single_sex	2
ERR506089	whole_male_single_sex_r3	SAMEA2395948	technical_run_1	ERR506089_1.fastq.gz	ERR506089_2.fastq.gz	whole_male_single_sex	male	whole_worm	single_sex	3
ERR506113	whole_male_single_sex_r3	SAMEA2395948	technical_run_2	ERR506113_1.fastq.gz	ERR506113_2.fastq.gz	whole_male_single_sex	male	whole_worm	single_sex	3
ERR667067	whole_male_single_sex_r3	SAMEA2395948	technical_run_3	ERR667067_1.fastq.gz	ERR667067_2.fastq.gz	whole_male_single_sex	male	whole_worm	single_sex	3
ERR667091	whole_male_single_sex_r3	SAMEA2395948	technical_run_4	ERR667091_1.fastq.gz	ERR667091_2.fastq.gz	whole_male_single_sex	male	whole_worm	single_sex	3
ERR667115	whole_male_single_sex_r3	SAMEA2395948	technical_run_5	ERR667115_1.fastq.gz	ERR667115_2.fastq.gz	whole_male_single_sex	male	whole_worm	single_sex	3
ERR667139	whole_male_single_sex_r3	SAMEA2395948	technical_run_6	ERR667139_1.fastq.gz	ERR667139_2.fastq.gz	whole_male_single_sex	male	whole_worm	single_sex	3
