dataset	sample_id	source_sample_name	biosample	condition	stage	tissue	sex	infection_mode	treatment	time_hours	batch	replicate	technical_runs
PRJEB32839	x_2d_somules_r4	X_2d_Somules_R4	ERS4985787	schistosomulum_2d_mixed	schistosomulum_2d	whole_organism	mixed	not_applicable	untreated	not_applicable	not_declared	4	2
PRJEB32839	x_2d_somules_r5	X_2d_Somules_R5	ERS4985788	schistosomulum_2d_mixed	schistosomulum_2d	whole_organism	mixed	not_applicable	untreated	not_applicable	not_declared	5	2
PRJEB32839	f_26d_juveniles_r1	F_26d_Juveniles_R1	ERS4985792	juvenile_26d_female	juvenile_26d	whole_organism	female	not_applicable	untreated	not_applicable	not_declared	1	2
PRJEB32839	f_26d_juveniles_r2	F_26d_Juveniles_R2	ERS4985793	juvenile_26d_female	juvenile_26d	whole_organism	female	not_applicable	untreated	not_applicable	not_declared	2	2
PRJEB32839	f_26d_juveniles_r3	F_26d_Juveniles_R3	ERS4985771	juvenile_26d_female	juvenile_26d	whole_organism	female	not_applicable	untreated	not_applicable	not_declared	3	2
PRJEB32839	f_26d_juveniles_r4	F_26d_Juveniles_R4	ERS4985773	juvenile_26d_female	juvenile_26d	whole_organism	female	not_applicable	untreated	not_applicable	not_declared	4	2
PRJEB32839	f_26d_juveniles_r5	F_26d_Juveniles_R5	ERS4985776	juvenile_26d_female	juvenile_26d	whole_organism	female	not_applicable	untreated	not_applicable	not_declared	5	2
PRJEB32839	m_26d_juveniles_r1	M_26d_Juveniles_R1	ERS4985777	juvenile_26d_male	juvenile_26d	whole_organism	male	not_applicable	untreated	not_applicable	not_declared	1	2
PRJEB32839	m_26d_juveniles_r2	M_26d_Juveniles_R2	ERS4985779	juvenile_26d_male	juvenile_26d	whole_organism	male	not_applicable	untreated	not_applicable	not_declared	2	2
PRJEB32839	m_26d_juveniles_r3	M_26d_Juveniles_R3	ERS4985780	juvenile_26d_male	juvenile_26d	whole_organism	male	not_applicable	untreated	not_applicable	not_declared	3	2
PRJEB32839	m_26d_juveniles_r4	M_26d_Juveniles_R4	ERS4985784	juvenile_26d_male	juvenile_26d	whole_organism	male	not_applicable	untreated	not_applicable	not_declared	4	2
PRJEB32839	m_26d_juveniles_r5	M_26d_Juveniles_R5	ERS4985785	juvenile_26d_male	juvenile_26d	whole_organism	male	not_applicable	untreated	not_applicable	not_declared	5	2
