gene_id	PRJNA597909__adult_control_r1	PRJNA597909__adult_control_r2	PRJNA597909__adult_control_r3	PRJNA597909__adult_control_r4	PRJNA597909__adult_control_r5	PRJNA597909__adult_pzq_r1	PRJNA597909__adult_pzq_r2	PRJNA597909__adult_pzq_r3	PRJNA597909__adult_pzq_r4	PRJNA597909__adult_pzq_r5	PRJNA597909__juvenile_control_r1	PRJNA597909__juvenile_control_r2	PRJNA597909__juvenile_control_r3	PRJNA597909__juvenile_control_r4	PRJNA597909__juvenile_control_r5	PRJNA597909__juvenile_pzq_r1	PRJNA597909__juvenile_pzq_r2	PRJNA597909__juvenile_pzq_r3	PRJNA597909__juvenile_pzq_r4	PRJNA597909__juvenile_pzq_r5
Smp_000680	970.1562372645692	1010.2134241489704	842.6581429162584	987.3990040841334	798.6230671467395	865.8584496456908	825.7016980171252	758.4403249677789	875.5278860110874	975.4758145477792	852.9167732791767	712.13593735793	767.0212132927805	984.9055845881192	1028.3262605528014	924.3027247253971	791.1554169271949	992.1592396989381	1116.3443510591749	977.4553994073314
Smp_000690	47.51303221168554	68.01873995338114	89.72908958289351	66.36706480427344	69.3654483092918	68.0805653094207	77.11021177143004	58.93307410876258	77.52418237072884	76.55657754251327	72.82932074744882	75.41826374245709	69.68671689909407	51.592387494758036	70.80939352283148	78.53449800742132	59.259591941944265	83.47737374154407	72.12849875718972	61.513066137929094
Smp_000700	2589.1558106854163	2672.5778545923104	2689.307966963388	2589.654080783861	2308.605727957707	2381.866072814472	2625.3769496185714	2283.2467776356143	2202.503663678077	2530.306616782153	1439.3686925788927	1413.1282882344271	1432.3897912405464	1826.0960990343094	1740.549854728046	1308.3112763324166	1527.7455617956384	1535.462370964532	1346.0630255525125	1347.2380694231163
Smp_000710	2166.591517112885	2198.612889513142	2127.6681122761215	2086.1020616183987	1868.6265874172223	1823.9111325228816	2019.5921781200648	1861.6369348614814	1953.660312521661	2218.8345328230876	1851.795664928554	1641.9430466727517	1650.1958558683953	1769.7602833490882	1914.1419327764957	1611.1295576600078	1470.5783553675594	1719.9295478930883	1673.6962414054392	1645.0666210035527
Smp_000720	2696.1883652140805	2581.8216839841243	2632.7384291734334	2707.189952287353	2342.1180801893074	2844.3109693615083	3226.6538017166827	3249.3249252740056	3456.91079605964	3712.6091974266246	2857.5788034633947	2790.1811415895268	2851.1490380286264	2758.486822326612	3224.359874271426	3096.5947297678085	2582.148461444816	3139.646710158462	3085.471496760292	3033.386708040997
Smp_000740	8858.355406111345	9561.16048295264	8543.775655515221	8699.211952832078	8127.088243455681	8122.148085512831	9773.572640012884	9012.260350745855	9427.912512658666	9998.457588723413	8394.23901062274	8010.153287291316	7557.016265177108	8200.959497020993	8922.356233698618	8324.17592964638	6809.704118092278	7835.713087291136	8577.494132522006	8336.219246984041
Smp_000755	3753.97285341705	3451.9534698083053	3617.1170297669228	3459.062464814101	3062.8383781610933	2660.1251704344763	2625.658387043846	2659.259852872616	2913.4926175714595	2670.378702682497	2520.54317486187	2394.5175904612993	2938.55427372092	2964.5652773068978	2880.040904820042	2846.3573110052735	3027.8097138005883	2493.703799368304	2108.5278063888513	2551.4696598168302
Smp_000770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smp_000790	967.2433996823704	973.3808993894676	1023.6953111177759	949.5420488514994	955.3548392943511	1049.754594971469	1059.1875234673535	1015.0907595844621	1137.3687440204528	1226.5943943038915	1052.4164212205023	1019.5186276281936	982.3497411724669	1092.1533295939942	1111.1046186919075	989.6484340681424	883.595018540174	906.1559832590893	884.3349008223023	827.3595347859297
Smp_000810	1384.048590023289	1482.822104113637	1366.0437497064397	1333.0766645889323	1378.7315814852989	1029.646836730698	1141.6913310951309	1077.0701235220492	1172.6027221797476	1244.861632020512	1033.9390595164111	949.4557247474778	1018.1691667812934	1301.1755734523674	1370.9045142207062	1125.5132473648048	1010.7274813614233	1046.638695111559	1149.442307568946	1071.6621180684583
