gene_id	baseMean	log2FoldChange	lfcSE	statistic	pvalue	padj	contrast	design
Smp_160590	909.789202801267	4.35871158690205	0.253705172779641	17.1802235608647	3.73469177160054e-66	2.18642861403639e-63	condition__ovary_mixed_sex_vs_ovary_single_sex	~ condition
Smp_142850	2398.00368818183	1.7193824121794	0.103924531523244	16.544528870884	1.75331013475703e-61	9.66073884251124e-59	condition__ovary_mixed_sex_vs_ovary_single_sex	~ condition
Smp_172780	1473.00222825825	2.10049347920835	0.127895713380633	16.4234861645208	1.29885003717627e-60	6.7590712767945e-58	condition__ovary_mixed_sex_vs_ovary_single_sex	~ condition
Smp_145600	2063.74142285519	1.63340199546568	0.102074804235849	16.002009582028	1.23716373252852e-57	6.09921720136559e-55	condition__ovary_mixed_sex_vs_ovary_single_sex	~ condition
Smp_210650	2535.28272565742	2.8180148860317	0.176280150005414	15.9860023147539	1.59973010126226e-57	7.4923359292618e-55	condition__ovary_mixed_sex_vs_ovary_single_sex	~ condition
Smp_124760	1467.10160418893	-4.46433483932518	0.279690994139319	-15.9616681726313	2.36329343084623e-57	1.05414140793984e-54	condition__ovary_mixed_sex_vs_ovary_single_sex	~ condition
Smp_047650	3767.07782975831	-3.61438549912108	0.229616442343013	-15.7409698636551	7.92200979521612e-56	3.37297571599043e-53	condition__ovary_mixed_sex_vs_ovary_single_sex	~ condition
Smp_035560	4108.08872453257	-4.21706953617297	0.268050524936046	-15.7323681316391	9.07523996010965e-56	3.69599011766726e-53	condition__ovary_mixed_sex_vs_ovary_single_sex	~ condition
Smp_011220	826.203541518998	3.01367572860175	0.192090456957987	15.6888362718658	1.80331260676181e-55	7.0381788281408e-53	condition__ovary_mixed_sex_vs_ovary_single_sex	~ condition
Smp_156720	2499.14473635137	-1.76039673409959	0.116049024537466	-15.1694229323854	5.63702356543281e-52	2.11207998949636e-49	condition__ovary_mixed_sex_vs_ovary_single_sex	~ condition
