dataset,sample_id,file_prefix,run_accession,condition,stage,tissue,sex,infection_mode,treatment,time_hours,batch,replicate,biosample,library_name,technical_unit
PRJEB14695,testis_mixed_sex_r2,testis_mixed_sex_r2,ERR667106,testis_mixed_sex,adult,testis,male,mixed_sex,untreated,not_applicable,not_declared,2,SAMEA2395940,9645652,technical_run_5
PRJEB14695,testis_mixed_sex_r2,testis_mixed_sex_r2,ERR667130,testis_mixed_sex,adult,testis,male,mixed_sex,untreated,not_applicable,not_declared,2,SAMEA2395940,9645652,technical_run_6
PRJEB14695,testis_mixed_sex_r3,testis_mixed_sex_r3,ERR506081,testis_mixed_sex,adult,testis,male,mixed_sex,untreated,not_applicable,not_declared,3,SAMEA2395941,9645653,technical_run_1
PRJEB14695,testis_mixed_sex_r3,testis_mixed_sex_r3,ERR506105,testis_mixed_sex,adult,testis,male,mixed_sex,untreated,not_applicable,not_declared,3,SAMEA2395941,9645653,technical_run_2
PRJEB14695,testis_mixed_sex_r3,testis_mixed_sex_r3,ERR667059,testis_mixed_sex,adult,testis,male,mixed_sex,untreated,not_applicable,not_declared,3,SAMEA2395941,9645653,technical_run_3
PRJEB14695,testis_mixed_sex_r3,testis_mixed_sex_r3,ERR667083,testis_mixed_sex,adult,testis,male,mixed_sex,untreated,not_applicable,not_declared,3,SAMEA2395941,9645653,technical_run_4
PRJEB14695,testis_mixed_sex_r3,testis_mixed_sex_r3,ERR667107,testis_mixed_sex,adult,testis,male,mixed_sex,untreated,not_applicable,not_declared,3,SAMEA2395941,9645653,technical_run_5
PRJEB14695,testis_mixed_sex_r3,testis_mixed_sex_r3,ERR667131,testis_mixed_sex,adult,testis,male,mixed_sex,untreated,not_applicable,not_declared,3,SAMEA2395941,9645653,technical_run_6
PRJEB14695,testis_single_sex_r1,testis_single_sex_r1,ERR506077,testis_single_sex,adult,testis,male,single_sex,untreated,not_applicable,not_declared,1,SAMEA2395937,9645649,technical_run_1
PRJEB14695,testis_single_sex_r1,testis_single_sex_r1,ERR506101,testis_single_sex,adult,testis,male,single_sex,untreated,not_applicable,not_declared,1,SAMEA2395937,9645649,technical_run_2
PRJEB14695,testis_single_sex_r1,testis_single_sex_r1,ERR667055,testis_single_sex,adult,testis,male,single_sex,untreated,not_applicable,not_declared,1,SAMEA2395937,9645649,technical_run_3
PRJEB14695,testis_single_sex_r1,testis_single_sex_r1,ERR667079,testis_single_sex,adult,testis,male,single_sex,untreated,not_applicable,not_declared,1,SAMEA2395937,9645649,technical_run_4
PRJEB14695,testis_single_sex_r1,testis_single_sex_r1,ERR667103,testis_single_sex,adult,testis,male,single_sex,untreated,not_applicable,not_declared,1,SAMEA2395937,9645649,technical_run_5
PRJEB14695,testis_single_sex_r1,testis_single_sex_r1,ERR667127,testis_single_sex,adult,testis,male,single_sex,untreated,not_applicable,not_declared,1,SAMEA2395937,9645649,technical_run_6
PRJEB14695,testis_single_sex_r2,testis_single_sex_r2,ERR506078,testis_single_sex,adult,testis,male,single_sex,untreated,not_applicable,not_declared,2,SAMEA2395938,9645650,technical_run_1
PRJEB14695,testis_single_sex_r2,testis_single_sex_r2,ERR506102,testis_single_sex,adult,testis,male,single_sex,untreated,not_applicable,not_declared,2,SAMEA2395938,9645650,technical_run_2
PRJEB14695,testis_single_sex_r2,testis_single_sex_r2,ERR667056,testis_single_sex,adult,testis,male,single_sex,untreated,not_applicable,not_declared,2,SAMEA2395938,9645650,technical_run_3
PRJEB14695,testis_single_sex_r2,testis_single_sex_r2,ERR667080,testis_single_sex,adult,testis,male,single_sex,untreated,not_applicable,not_declared,2,SAMEA2395938,9645650,technical_run_4
PRJEB14695,testis_single_sex_r2,testis_single_sex_r2,ERR667104,testis_single_sex,adult,testis,male,single_sex,untreated,not_applicable,not_declared,2,SAMEA2395938,9645650,technical_run_5
PRJEB14695,testis_single_sex_r2,testis_single_sex_r2,ERR667128,testis_single_sex,adult,testis,male,single_sex,untreated,not_applicable,not_declared,2,SAMEA2395938,9645650,technical_run_6
PRJEB14695,testis_single_sex_r3,testis_single_sex_r3,ERR506085,testis_single_sex,adult,testis,male,single_sex,untreated,not_applicable,not_declared,3,SAMEA2395945,9645657,technical_run_1
PRJEB14695,testis_single_sex_r3,testis_single_sex_r3,ERR506109,testis_single_sex,adult,testis,male,single_sex,untreated,not_applicable,not_declared,3,SAMEA2395945,9645657,technical_run_2
PRJEB14695,testis_single_sex_r3,testis_single_sex_r3,ERR667063,testis_single_sex,adult,testis,male,single_sex,untreated,not_applicable,not_declared,3,SAMEA2395945,9645657,technical_run_3
PRJEB14695,testis_single_sex_r3,testis_single_sex_r3,ERR667087,testis_single_sex,adult,testis,male,single_sex,untreated,not_applicable,not_declared,3,SAMEA2395945,9645657,technical_run_4
PRJEB14695,testis_single_sex_r3,testis_single_sex_r3,ERR667111,testis_single_sex,adult,testis,male,single_sex,untreated,not_applicable,not_declared,3,SAMEA2395945,9645657,technical_run_5
PRJEB14695,testis_single_sex_r3,testis_single_sex_r3,ERR667135,testis_single_sex,adult,testis,male,single_sex,untreated,not_applicable,not_declared,3,SAMEA2395945,9645657,technical_run_6
PRJEB14695,whole_female_mixed_sex_r1,whole_female_mixed_sex_r1,ERR506076,whole_female_mixed_sex,adult,whole_worm,female,mixed_sex,untreated,not_applicable,not_declared,1,SAMEA2395936,9645648,technical_run_1
PRJEB14695,whole_female_mixed_sex_r1,whole_female_mixed_sex_r1,ERR506100,whole_female_mixed_sex,adult,whole_worm,female,mixed_sex,untreated,not_applicable,not_declared,1,SAMEA2395936,9645648,technical_run_2
PRJEB14695,whole_female_mixed_sex_r1,whole_female_mixed_sex_r1,ERR667054,whole_female_mixed_sex,adult,whole_worm,female,mixed_sex,untreated,not_applicable,not_declared,1,SAMEA2395936,9645648,technical_run_3
PRJEB14695,whole_female_mixed_sex_r1,whole_female_mixed_sex_r1,ERR667078,whole_female_mixed_sex,adult,whole_worm,female,mixed_sex,untreated,not_applicable,not_declared,1,SAMEA2395936,9645648,technical_run_4
PRJEB14695,whole_female_mixed_sex_r1,whole_female_mixed_sex_r1,ERR667102,whole_female_mixed_sex,adult,whole_worm,female,mixed_sex,untreated,not_applicable,not_declared,1,SAMEA2395936,9645648,technical_run_5
PRJEB14695,whole_female_mixed_sex_r1,whole_female_mixed_sex_r1,ERR667126,whole_female_mixed_sex,adult,whole_worm,female,mixed_sex,untreated,not_applicable,not_declared,1,SAMEA2395936,9645648,technical_run_6
PRJEB14695,whole_female_mixed_sex_r2,whole_female_mixed_sex_r2,ERR506083,whole_female_mixed_sex,adult,whole_worm,female,mixed_sex,untreated,not_applicable,not_declared,2,SAMEA2395943,9645655,technical_run_1
PRJEB14695,whole_female_mixed_sex_r2,whole_female_mixed_sex_r2,ERR506107,whole_female_mixed_sex,adult,whole_worm,female,mixed_sex,untreated,not_applicable,not_declared,2,SAMEA2395943,9645655,technical_run_2
PRJEB14695,whole_female_mixed_sex_r2,whole_female_mixed_sex_r2,ERR667061,whole_female_mixed_sex,adult,whole_worm,female,mixed_sex,untreated,not_applicable,not_declared,2,SAMEA2395943,9645655,technical_run_3
PRJEB14695,whole_female_mixed_sex_r2,whole_female_mixed_sex_r2,ERR667085,whole_female_mixed_sex,adult,whole_worm,female,mixed_sex,untreated,not_applicable,not_declared,2,SAMEA2395943,9645655,technical_run_4
PRJEB14695,whole_female_mixed_sex_r2,whole_female_mixed_sex_r2,ERR667109,whole_female_mixed_sex,adult,whole_worm,female,mixed_sex,untreated,not_applicable,not_declared,2,SAMEA2395943,9645655,technical_run_5
PRJEB14695,whole_female_mixed_sex_r2,whole_female_mixed_sex_r2,ERR667133,whole_female_mixed_sex,adult,whole_worm,female,mixed_sex,untreated,not_applicable,not_declared,2,SAMEA2395943,9645655,technical_run_6
PRJEB14695,whole_female_mixed_sex_r3,whole_female_mixed_sex_r3,ERR506084,whole_female_mixed_sex,adult,whole_worm,female,mixed_sex,untreated,not_applicable,not_declared,3,SAMEA2395944,9645656,technical_run_1
PRJEB14695,whole_female_mixed_sex_r3,whole_female_mixed_sex_r3,ERR506108,whole_female_mixed_sex,adult,whole_worm,female,mixed_sex,untreated,not_applicable,not_declared,3,SAMEA2395944,9645656,technical_run_2
PRJEB14695,whole_female_mixed_sex_r3,whole_female_mixed_sex_r3,ERR667062,whole_female_mixed_sex,adult,whole_worm,female,mixed_sex,untreated,not_applicable,not_declared,3,SAMEA2395944,9645656,technical_run_3
PRJEB14695,whole_female_mixed_sex_r3,whole_female_mixed_sex_r3,ERR667086,whole_female_mixed_sex,adult,whole_worm,female,mixed_sex,untreated,not_applicable,not_declared,3,SAMEA2395944,9645656,technical_run_4
PRJEB14695,whole_female_mixed_sex_r3,whole_female_mixed_sex_r3,ERR667110,whole_female_mixed_sex,adult,whole_worm,female,mixed_sex,untreated,not_applicable,not_declared,3,SAMEA2395944,9645656,technical_run_5
PRJEB14695,whole_female_mixed_sex_r3,whole_female_mixed_sex_r3,ERR667134,whole_female_mixed_sex,adult,whole_worm,female,mixed_sex,untreated,not_applicable,not_declared,3,SAMEA2395944,9645656,technical_run_6
PRJEB14695,whole_female_single_sex_r1,whole_female_single_sex_r1,ERR506091,whole_female_single_sex,adult,whole_worm,female,single_sex,untreated,not_applicable,not_declared,1,SAMEA2395951,9645663,technical_run_1
PRJEB14695,whole_female_single_sex_r1,whole_female_single_sex_r1,ERR506115,whole_female_single_sex,adult,whole_worm,female,single_sex,untreated,not_applicable,not_declared,1,SAMEA2395951,9645663,technical_run_2
PRJEB14695,whole_female_single_sex_r1,whole_female_single_sex_r1,ERR667069,whole_female_single_sex,adult,whole_worm,female,single_sex,untreated,not_applicable,not_declared,1,SAMEA2395951,9645663,technical_run_3
PRJEB14695,whole_female_single_sex_r1,whole_female_single_sex_r1,ERR667093,whole_female_single_sex,adult,whole_worm,female,single_sex,untreated,not_applicable,not_declared,1,SAMEA2395951,9645663,technical_run_4
PRJEB14695,whole_female_single_sex_r1,whole_female_single_sex_r1,ERR667117,whole_female_single_sex,adult,whole_worm,female,single_sex,untreated,not_applicable,not_declared,1,SAMEA2395951,9645663,technical_run_5
PRJEB14695,whole_female_single_sex_r1,whole_female_single_sex_r1,ERR667141,whole_female_single_sex,adult,whole_worm,female,single_sex,untreated,not_applicable,not_declared,1,SAMEA2395951,9645663,technical_run_6
PRJEB14695,whole_female_single_sex_r2,whole_female_single_sex_r2,ERR506092,whole_female_single_sex,adult,whole_worm,female,single_sex,untreated,not_applicable,not_declared,2,SAMEA2395952,9645664,technical_run_1
PRJEB14695,whole_female_single_sex_r2,whole_female_single_sex_r2,ERR506116,whole_female_single_sex,adult,whole_worm,female,single_sex,untreated,not_applicable,not_declared,2,SAMEA2395952,9645664,technical_run_2
PRJEB14695,whole_female_single_sex_r2,whole_female_single_sex_r2,ERR667070,whole_female_single_sex,adult,whole_worm,female,single_sex,untreated,not_applicable,not_declared,2,SAMEA2395952,9645664,technical_run_3
PRJEB14695,whole_female_single_sex_r2,whole_female_single_sex_r2,ERR667094,whole_female_single_sex,adult,whole_worm,female,single_sex,untreated,not_applicable,not_declared,2,SAMEA2395952,9645664,technical_run_4
PRJEB14695,whole_female_single_sex_r2,whole_female_single_sex_r2,ERR667118,whole_female_single_sex,adult,whole_worm,female,single_sex,untreated,not_applicable,not_declared,2,SAMEA2395952,9645664,technical_run_5
PRJEB14695,whole_female_single_sex_r2,whole_female_single_sex_r2,ERR667142,whole_female_single_sex,adult,whole_worm,female,single_sex,untreated,not_applicable,not_declared,2,SAMEA2395952,9645664,technical_run_6
PRJEB14695,whole_female_single_sex_r3,whole_female_single_sex_r3,ERR506093,whole_female_single_sex,adult,whole_worm,female,single_sex,untreated,not_applicable,not_declared,3,SAMEA2395953,9645665,technical_run_1
PRJEB14695,whole_female_single_sex_r3,whole_female_single_sex_r3,ERR506117,whole_female_single_sex,adult,whole_worm,female,single_sex,untreated,not_applicable,not_declared,3,SAMEA2395953,9645665,technical_run_2
PRJEB14695,whole_female_single_sex_r3,whole_female_single_sex_r3,ERR667071,whole_female_single_sex,adult,whole_worm,female,single_sex,untreated,not_applicable,not_declared,3,SAMEA2395953,9645665,technical_run_3
PRJEB14695,whole_female_single_sex_r3,whole_female_single_sex_r3,ERR667095,whole_female_single_sex,adult,whole_worm,female,single_sex,untreated,not_applicable,not_declared,3,SAMEA2395953,9645665,technical_run_4
PRJEB14695,whole_female_single_sex_r3,whole_female_single_sex_r3,ERR667119,whole_female_single_sex,adult,whole_worm,female,single_sex,untreated,not_applicable,not_declared,3,SAMEA2395953,9645665,technical_run_5
PRJEB14695,whole_female_single_sex_r3,whole_female_single_sex_r3,ERR667143,whole_female_single_sex,adult,whole_worm,female,single_sex,untreated,not_applicable,not_declared,3,SAMEA2395953,9645665,technical_run_6
PRJEB14695,whole_male_mixed_sex_r1,whole_male_mixed_sex_r1,ERR506082,whole_male_mixed_sex,adult,whole_worm,male,mixed_sex,untreated,not_applicable,not_declared,1,SAMEA2395942,9645654,technical_run_1
PRJEB14695,whole_male_mixed_sex_r1,whole_male_mixed_sex_r1,ERR506106,whole_male_mixed_sex,adult,whole_worm,male,mixed_sex,untreated,not_applicable,not_declared,1,SAMEA2395942,9645654,technical_run_2
PRJEB14695,whole_male_mixed_sex_r1,whole_male_mixed_sex_r1,ERR667060,whole_male_mixed_sex,adult,whole_worm,male,mixed_sex,untreated,not_applicable,not_declared,1,SAMEA2395942,9645654,technical_run_3
PRJEB14695,whole_male_mixed_sex_r1,whole_male_mixed_sex_r1,ERR667084,whole_male_mixed_sex,adult,whole_worm,male,mixed_sex,untreated,not_applicable,not_declared,1,SAMEA2395942,9645654,technical_run_4
PRJEB14695,whole_male_mixed_sex_r1,whole_male_mixed_sex_r1,ERR667108,whole_male_mixed_sex,adult,whole_worm,male,mixed_sex,untreated,not_applicable,not_declared,1,SAMEA2395942,9645654,technical_run_5
PRJEB14695,whole_male_mixed_sex_r1,whole_male_mixed_sex_r1,ERR667132,whole_male_mixed_sex,adult,whole_worm,male,mixed_sex,untreated,not_applicable,not_declared,1,SAMEA2395942,9645654,technical_run_6
PRJEB14695,whole_male_mixed_sex_r2,whole_male_mixed_sex_r2,ERR506088,whole_male_mixed_sex,adult,whole_worm,male,mixed_sex,untreated,not_applicable,not_declared,2,SAMEA2395949,9645661,technical_run_1
PRJEB14695,whole_male_mixed_sex_r2,whole_male_mixed_sex_r2,ERR506112,whole_male_mixed_sex,adult,whole_worm,male,mixed_sex,untreated,not_applicable,not_declared,2,SAMEA2395949,9645661,technical_run_2
PRJEB14695,whole_male_mixed_sex_r2,whole_male_mixed_sex_r2,ERR667066,whole_male_mixed_sex,adult,whole_worm,male,mixed_sex,untreated,not_applicable,not_declared,2,SAMEA2395949,9645661,technical_run_3
PRJEB14695,whole_male_mixed_sex_r2,whole_male_mixed_sex_r2,ERR667090,whole_male_mixed_sex,adult,whole_worm,male,mixed_sex,untreated,not_applicable,not_declared,2,SAMEA2395949,9645661,technical_run_4
PRJEB14695,whole_male_mixed_sex_r2,whole_male_mixed_sex_r2,ERR667114,whole_male_mixed_sex,adult,whole_worm,male,mixed_sex,untreated,not_applicable,not_declared,2,SAMEA2395949,9645661,technical_run_5
PRJEB14695,whole_male_mixed_sex_r2,whole_male_mixed_sex_r2,ERR667138,whole_male_mixed_sex,adult,whole_worm,male,mixed_sex,untreated,not_applicable,not_declared,2,SAMEA2395949,9645661,technical_run_6
PRJEB14695,whole_male_mixed_sex_r3,whole_male_mixed_sex_r3,ERR506090,whole_male_mixed_sex,adult,whole_worm,male,mixed_sex,untreated,not_applicable,not_declared,3,SAMEA2395950,9645662,technical_run_1
PRJEB14695,whole_male_mixed_sex_r3,whole_male_mixed_sex_r3,ERR506114,whole_male_mixed_sex,adult,whole_worm,male,mixed_sex,untreated,not_applicable,not_declared,3,SAMEA2395950,9645662,technical_run_2
PRJEB14695,whole_male_mixed_sex_r3,whole_male_mixed_sex_r3,ERR667068,whole_male_mixed_sex,adult,whole_worm,male,mixed_sex,untreated,not_applicable,not_declared,3,SAMEA2395950,9645662,technical_run_3
PRJEB14695,whole_male_mixed_sex_r3,whole_male_mixed_sex_r3,ERR667092,whole_male_mixed_sex,adult,whole_worm,male,mixed_sex,untreated,not_applicable,not_declared,3,SAMEA2395950,9645662,technical_run_4
