gene_id	baseMean	log2FoldChange	lfcSE	statistic	pvalue	padj	contrast	design
Smp_347180	661.617735663745	-0.447216558482791	0.0878362848877555	-5.09147852797145	3.55282111916599e-07	1.43509680420329e-06	condition__adult_pzq_vs_adult_control	~ condition
Smp_140180	854.429557593101	0.280288677363352	0.0550579704127531	5.09079203723115	3.56570933010249e-07	1.43968750910418e-06	condition__adult_pzq_vs_adult_control	~ condition
Smp_131950	2369.55263823214	0.189356252828824	0.0372142913363197	5.08826706163876	3.6135026936902e-07	1.4583615482818e-06	condition__adult_pzq_vs_adult_control	~ condition
Smp_027210	58.6304795348597	-0.874095493417847	0.171794658808421	-5.08802485176564	3.61811966549371e-07	1.45960166787224e-06	condition__adult_pzq_vs_adult_control	~ condition
Smp_147360	1670.74114617905	0.201969754913041	0.0396987928482014	5.08755406456123	3.62711004139144e-07	1.46260427095699e-06	condition__adult_pzq_vs_adult_control	~ condition
Smp_073620	2243.14362095717	-0.334156015037122	0.0656873545652363	-5.08706762890353	3.63642189412682e-07	1.46573389097172e-06	condition__adult_pzq_vs_adult_control	~ condition
Smp_155860	31.6420448317478	1.06186635958384	0.208873982907208	5.08376555473437	3.70024628659174e-07	1.49082386619203e-06	condition__adult_pzq_vs_adult_control	~ condition
Smp_174130	1264.95208166927	0.310871060323409	0.061170402837893	5.08205023836847	3.73382621548821e-07	1.50371220233467e-06	condition__adult_pzq_vs_adult_control	~ condition
Smp_156540	1522.28850840007	-0.611102356873249	0.12026864039678	-5.0811446346874	3.75167321476441e-07	1.5102561850917e-06	condition__adult_pzq_vs_adult_control	~ condition
Smp_349190	6.10873481059444	4.20274508610803	0.827189487051011	5.08075253844329	3.75942588429023e-07	1.51273279941725e-06	condition__adult_pzq_vs_adult_control	~ condition
Smp_324410	18.2497740749453	1.50337719639304	0.295968703550018	5.07951407821392	3.7840148434124e-07	1.52197907659294e-06	condition__adult_pzq_vs_adult_control	~ condition
Smp_029750	1611.78491474905	-0.227021645188383	0.0447028750046034	-5.07845737360304	3.8051177895458e-07	1.5298159654099e-06	condition__adult_pzq_vs_adult_control	~ condition
Smp_027870	2241.37704800845	0.215926876483284	0.0425287833319311	5.07719383359749	3.8305004638321e-07	1.5393660877611e-06	condition__adult_pzq_vs_adult_control	~ condition
Smp_305550	1642.74408205976	0.274389478578541	0.0540913432409201	5.07270594772298	3.92198304784778e-07	1.57546042364034e-06	condition__adult_pzq_vs_adult_control	~ condition
Smp_301170	269.575755322099	0.462101198533562	0.0911305652857043	5.0707597070733	3.96230801880594e-07	1.59098281196915e-06	condition__adult_pzq_vs_adult_control	~ condition
Smp_158360	229.432906740187	-0.696437591266906	0.137394683519554	-5.06888311415477	4.00156860856517e-07	1.60606481903006e-06	condition__adult_pzq_vs_adult_control	~ condition
Smp_247810	199.584358535954	0.554692751082287	0.10946164154787	5.06746238443451	4.03154138427414e-07	1.61740785925973e-06	condition__adult_pzq_vs_adult_control	~ condition
Smp_069890	293.83532904877	0.664317714371653	0.131097050929329	5.06737344328037	4.03342494093838e-07	1.61747698522484e-06	condition__adult_pzq_vs_adult_control	~ condition
Smp_171550	499.325968865145	0.344517085207075	0.0680085650341744	5.06578965508175	4.067108240446e-07	1.63029292148836e-06	condition__adult_pzq_vs_adult_control	~ condition
Smp_019010	5387.5235561391	-0.214919585296992	0.042435721425785	-5.06459129422039	4.0927746515351e-07	1.63988579933488e-06	condition__adult_pzq_vs_adult_control	~ condition
Smp_140520	1842.7126999286	0.430513012594203	0.0850374588817175	5.06262790840239	4.13516444443799e-07	1.65616840376389e-06	condition__adult_pzq_vs_adult_control	~ condition
Smp_315710	1843.85579544842	-0.295524938213207	0.0584095843311316	-5.05952818526901	4.2029515131773e-07	1.68260473115425e-06	condition__adult_pzq_vs_adult_control	~ condition
Smp_124340	46.4363549944903	1.41594768788628	0.279941837682516	5.05800669027584	4.23661575078052e-07	1.69536376275942e-06	condition__adult_pzq_vs_adult_control	~ condition
