gene_id	PRJNA597909__adult_control_r1	PRJNA597909__adult_control_r2	PRJNA597909__adult_control_r3	PRJNA597909__adult_control_r4	PRJNA597909__adult_control_r5	PRJNA597909__adult_pzq_r1	PRJNA597909__adult_pzq_r2	PRJNA597909__adult_pzq_r3	PRJNA597909__adult_pzq_r4	PRJNA597909__adult_pzq_r5	PRJNA597909__juvenile_control_r1	PRJNA597909__juvenile_control_r2	PRJNA597909__juvenile_control_r3	PRJNA597909__juvenile_control_r4	PRJNA597909__juvenile_control_r5	PRJNA597909__juvenile_pzq_r1	PRJNA597909__juvenile_pzq_r2	PRJNA597909__juvenile_pzq_r3	PRJNA597909__juvenile_pzq_r4	PRJNA597909__juvenile_pzq_r5
Smp_000590	46.378601	45.270273	45.569548	43.053291	43.19464	46.033216	46.137628	47.617249	46.142166	47.759384	56.171813	55.330732	53.891844	53.499486	54.648756	55.555213	53.517459	55.54802	52.968712	57.660412
Smp_000600	38.09749	44.483533	39.99659	42.493227	41.455764	43.35184	41.062001	45.003609	45.962592	46.962238	44.545321	45.721767	44.697681	50.681133	54.428687	50.791824	47.176356	49.547275	51.856525	47.464812
Smp_000620	0.428717	0.833691	0.340973	0.345108	0.723621	1.157181	0.73144	1.078358	0.936335	0.711102	0.364293	0.456103	0.654961	1.084047	1.084127	1.424359	1.731768	1.361258	1.672961	1.123795
Smp_000630	16.53282	12.800588	13.52275	14.014401	14.831816	20.907323	17.995263	14.642276	18.430009	20.77049	17.4074	15.77913	17.489984	18.469921	16.391386	20.358771	22.498186	23.460968	18.921397	20.929983
Smp_000640	70.273648	65.554452	67.484395	72.350493	70.859726	77.338973	78.271291	74.958945	70.568052	70.465153	94.759467	92.374815	85.909574	76.339386	77.856234	91.55173	82.940893	86.519762	91.138736	96.131935
Smp_000650	30.500976	28.560669	30.240405	29.375602	25.665014	30.820401	31.569441	33.753682	30.512368	33.372632	30.93866	29.17018	26.79135	30.125465	28.841606	34.158941	32.464576	33.48374	31.801578	32.573708
Smp_000660	285.332763	278.970922	283.385721	279.215812	274.726018	191.350064	181.590615	168.21989	177.236965	186.865987	281.04536	281.381841	277.702306	274.214702	275.582005	260.235996	242.276116	219.480662	186.628044	250.153883
Smp_000670	46.129719	41.215616	43.852629	45.4557	41.963784	40.792504	41.901916	40.706583	40.507279	38.985151	36.9396	40.206595	41.283025	43.481729	42.459294	44.080334	43.782936	43.216905	39.134457	41.205512
Smp_000680	51.820761	49.981845	43.832853	51.713723	44.078585	53.483113	45.215401	45.87371	48.243788	49.284799	54.645997	49.332273	53.3131	67.041182	65.874756	63.641786	60.900889	68.443849	76.646196	68.752522
Smp_000690	0.548317	0.727084	1.008413	0.75097	0.827153	0.908552	0.912288	0.77012	0.922923	0.835672	1.008126	1.12876	1.046486	0.758734	0.980022	1.168276	0.985547	1.244167	1.069932	0.934794
